theme,tier,lifecycle,etf_rsi,etf_5d,etf_volume_ratio,checklist_score,ticker,role,price,return_5d,return_20d,rsi,vol_ratio,total_score,entry_eligible
AI 반도체,S,태동기,49.8,-3.99,0.89,4,AMAT,후발주,585.88,0.02,35.57,64.0,1.24,6.8,False
AI 반도체,S,태동기,49.8,-3.99,0.89,4,NVDA,대장주,200.04,-5.84,-6.99,34.8,0.9,3.6,False
AI 반도체,S,태동기,49.8,-3.99,0.89,4,AMD,대장주,519.85,-5.01,11.2,49.8,0.97,3.2,False
클라우드 SaaS,B,소멸,9.6,-5.06,1.06,2,SNOW,후발주,230.41,-4.31,33.8,26.7,0.55,3.7,False
클라우드 SaaS,B,소멸,9.6,-5.06,1.06,2,MSFT,대장주,373.94,-6.46,-10.66,16.9,1.08,3.5,False
클라우드 SaaS,B,소멸,9.6,-5.06,1.06,2,CRM,대장주,153.42,-6.76,-14.58,6.2,1.37,3.5,False
방위산업,C,소멸,57.3,-0.62,0.85,1,RTX,대장주,186.39,1.5,5.3,61.8,1.07,6.5,False
방위산업,C,소멸,57.3,-0.62,0.85,1,GD,후발주,350.34,-2.56,2.17,58.3,1.45,3.8,False
방위산업,C,소멸,57.3,-0.62,0.85,1,LMT,대장주,503.67,-5.03,-4.93,46.3,1.31,3.4,False
원자력 에너지,B,소멸,31.9,-2.86,0.8,3,VST,대장주,162.39,5.93,4.06,54.4,1.1,6.9,False
원자력 에너지,B,소멸,31.9,-2.86,0.8,3,CEG,대장주,270.26,3.02,-8.1,48.4,0.93,4.7,False
원자력 에너지,B,소멸,31.9,-2.86,0.8,3,UEC,후발주,11.34,-3.65,-12.9,29.7,1.01,2.3,False
사이버보안,A,조정기,27.3,-1.46,0.64,4,PANW,대장주,290.92,2.24,11.64,46.0,0.75,6.3,False
사이버보안,A,조정기,27.3,-1.46,0.64,4,FTNT,후발주,148.0,-1.0,10.51,48.8,1.2,4.5,False
사이버보안,A,조정기,27.3,-1.46,0.64,4,CRWD,대장주,680.92,-1.73,2.63,30.3,0.85,3.2,False
바이오헬스케어,S,조정기,76.5,7.9,1.33,7,MRNA,후발주,61.0,17.02,30.12,71.1,1.77,7.3,False
바이오헬스케어,S,조정기,76.5,7.9,1.33,7,REGN,대장주,618.03,0.5,-3.26,57.1,1.25,4.7,False
바이오헬스케어,S,조정기,76.5,7.9,1.33,7,LLY,대장주,1107.08,-1.97,3.95,61.1,0.94,4.1,False
로봇 자동화,A,소멸,35.7,-2.83,0.85,4,TER,대장주,420.12,-2.84,17.21,54.5,1.58,6.1,False
로봇 자동화,A,소멸,35.7,-2.83,0.85,4,ISRG,대장주,403.18,-3.21,-7.97,50.6,1.07,4.0,False
에너지 원유,C,소멸,35.6,-1.26,0.98,0,XOM,대장주,139.73,-0.84,-9.81,33.3,1.26,3.2,False
에너지 원유,C,소멸,35.6,-1.26,0.98,0,CVX,대장주,175.98,-2.45,-8.07,32.6,1.12,3.1,False
에너지 원유,C,소멸,35.6,-1.26,0.98,0,SLB,후발주,47.79,-11.02,-16.13,24.6,1.39,2.7,False
금융,B,조정기,70.2,0.95,0.94,3,JPM,대장주,334.14,4.61,9.06,76.7,1.24,7.9,False
금융,B,조정기,70.2,0.95,0.94,3,BAC,후발주,57.91,3.65,12.38,85.8,1.06,7.1,False
금융,B,조정기,70.2,0.95,0.94,3,GS,대장주,1094.44,1.7,10.29,55.0,1.0,6.3,False
금 귀금속,B,소멸,37.0,-8.92,1.16,2,GOLD,대장주,42.38,-2.93,-2.35,58.5,0.99,4.1,False
금 귀금속,B,소멸,37.0,-8.92,1.16,2,NEM,대장주,97.84,-7.52,-8.89,37.0,1.17,3.5,False
금 귀금속,B,소멸,37.0,-8.92,1.16,2,AG,후발주,16.5,-12.7,-15.17,31.7,1.04,2.7,False
