theme,tier,lifecycle,etf_rsi,etf_5d,etf_volume_ratio,checklist_score,ticker,role,price,return_5d,return_20d,rsi,vol_ratio,total_score,entry_eligible
AI 반도체,B,태동기,47.8,0.39,1.05,3,AMD,대장주,545.09,8.24,16.87,67.1,1.23,8.0,False
AI 반도체,B,태동기,47.8,0.39,1.05,3,NVDA,대장주,219.34,0.45,0.93,42.7,0.77,4.1,False
AI 반도체,B,태동기,47.8,0.39,1.05,3,AMAT,후발주,417.4,-8.06,-15.79,28.0,1.0,2.7,False
클라우드 SaaS,S,조정기,39.7,5.63,0.85,5,CRM,대장주,242.85,-0.06,17.84,43.4,0.72,6.2,False
클라우드 SaaS,S,조정기,39.7,5.63,0.85,5,MSFT,대장주,497.75,1.08,2.97,46.1,0.9,5.0,False
클라우드 SaaS,S,조정기,39.7,5.63,0.85,5,SNOW,후발주,338.39,2.63,4.12,53.4,0.78,4.9,False
방위산업,B,소멸,15.6,-1.92,1.27,2,RTX,대장주,193.54,-2.31,-12.17,13.4,1.01,3.7,False
방위산업,B,소멸,15.6,-1.92,1.27,2,LMT,대장주,538.09,1.5,-8.1,36.2,0.94,3.3,False
방위산업,B,소멸,15.6,-1.92,1.27,2,GD,후발주,355.95,0.48,-9.28,21.5,1.09,3.1,False
원자력 에너지,B,소멸,30.3,-6.16,1.13,2,CEG,대장주,262.8,-8.1,-4.15,38.4,1.12,3.5,False
원자력 에너지,B,소멸,30.3,-6.16,1.13,2,VST,대장주,143.56,-2.37,0.6,55.2,1.0,3.4,False
원자력 에너지,B,소멸,30.3,-6.16,1.13,2,UEC,후발주,10.12,-8.17,-12.98,10.2,0.92,2.1,False
사이버보안,S,가속기,53.1,9.03,1.58,7,CRWD,대장주,245.7,17.64,21.86,57.9,1.2,7.2,True
사이버보안,S,가속기,53.1,9.03,1.58,7,PANW,대장주,375.06,10.8,4.25,47.3,1.06,6.9,False
사이버보안,S,가속기,53.1,9.03,1.58,7,FTNT,후발주,172.58,8.64,12.91,49.8,1.03,6.7,False
바이오헬스케어,B,조정기,31.7,0.91,1.06,3,MRNA,후발주,158.07,15.7,-9.35,61.2,0.48,6.1,False
바이오헬스케어,B,조정기,31.7,0.91,1.06,3,LLY,대장주,1152.44,2.62,-9.99,39.1,0.81,4.0,False
바이오헬스케어,B,조정기,31.7,0.91,1.06,3,REGN,대장주,789.45,-0.48,-6.11,45.2,0.88,4.0,False
로봇 자동화,C,소멸,35.6,1.04,1.08,1,ISRG,대장주,383.54,6.4,-3.57,60.7,1.08,7.7,False
로봇 자동화,C,소멸,35.6,1.04,1.08,1,TER,대장주,353.13,-4.61,-6.95,45.0,1.26,4.0,False
에너지 원유,B,태동기,60.9,-0.69,1.3,2,CVX,대장주,211.57,-0.56,2.82,66.2,1.04,5.0,False
에너지 원유,B,태동기,60.9,-0.69,1.3,2,XOM,대장주,163.27,-1.19,-0.91,61.0,0.91,4.1,False
에너지 원유,B,태동기,60.9,-0.69,1.3,2,SLB,후발주,52.08,-7.02,-2.24,42.4,0.91,2.9,False
금융,C,소멸,33.1,-1.74,1.22,1,JPM,대장주,349.31,-1.2,-2.23,43.7,1.38,4.2,False
금융,C,소멸,33.1,-1.74,1.22,1,GS,대장주,951.47,-6.7,-6.41,29.2,1.28,2.9,False
금융,C,소멸,33.1,-1.74,1.22,1,BAC,후발주,58.18,-7.0,-7.43,34.5,1.31,2.8,False
금 귀금속,B,조정기,37.8,-0.11,0.86,2,GOLD,대장주,46.87,4.79,5.59,55.0,0.86,7.3,False
금 귀금속,B,조정기,37.8,-0.11,0.86,2,NEM,대장주,124.39,-1.39,-0.34,39.4,0.76,3.8,False
금 귀금속,B,조정기,37.8,-0.11,0.86,2,AG,후발주,19.49,-3.28,-6.52,36.7,0.93,2.9,False
