theme,tier,lifecycle,etf_rsi,etf_5d,etf_volume_ratio,checklist_score,ticker,role,price,return_5d,return_20d,rsi,vol_ratio,total_score,entry_eligible
AI 반도체,B,소멸,55.9,-5.15,0.71,2,NVDA,대장주,216.85,-3.75,3.88,67.4,0.79,4.0,False
AI 반도체,B,소멸,55.9,-5.15,0.71,2,AMD,대장주,469.45,-2.81,-13.01,48.3,0.76,3.9,False
AI 반도체,B,소멸,55.9,-5.15,0.71,2,AMAT,후발주,496.21,-7.17,-11.83,47.4,1.11,3.0,False
클라우드 SaaS,S,조정기,70.8,-4.16,0.69,4,CRM,대장주,205.43,2.02,30.91,66.6,1.03,7.5,False
클라우드 SaaS,S,조정기,70.8,-4.16,0.69,4,MSFT,대장주,481.15,-3.17,26.09,58.8,0.6,5.8,False
클라우드 SaaS,S,조정기,70.8,-4.16,0.69,4,SNOW,후발주,321.29,-4.77,21.18,70.8,0.67,3.2,False
방위산업,A,조정기,49.3,-4.86,0.79,4,RTX,대장주,212.29,-3.39,1.83,46.8,0.98,3.9,False
방위산업,A,조정기,49.3,-4.86,0.79,4,LMT,대장주,571.48,-4.44,0.51,46.0,0.94,3.2,False
방위산업,A,조정기,49.3,-4.86,0.79,4,GD,후발주,386.07,-1.75,1.12,53.1,0.71,3.2,False
원자력 에너지,B,태동기,62.8,-3.35,0.82,2,UEC,후발주,11.15,-0.36,13.43,71.8,0.83,5.3,False
원자력 에너지,B,태동기,62.8,-3.35,0.82,2,CEG,대장주,272.92,-1.9,-0.82,57.7,0.9,4.0,False
원자력 에너지,B,태동기,62.8,-3.35,0.82,2,VST,대장주,138.94,-5.1,-17.78,40.0,0.82,3.2,False
사이버보안,A,태동기,54.8,-9.94,1.11,4,CRWD,대장주,190.34,-15.6,3.77,49.7,1.05,2.9,False
사이버보안,A,태동기,54.8,-9.94,1.11,4,PANW,대장주,349.56,-11.73,7.35,57.0,0.86,2.9,False
사이버보안,A,태동기,54.8,-9.94,1.11,4,FTNT,후발주,150.79,-8.86,-0.49,38.0,0.73,2.7,False
바이오헬스케어,A,조정기,74.2,4.16,1.17,5,MRNA,후발주,133.32,109.46,133.81,73.0,3.13,8.1,False
바이오헬스케어,A,조정기,74.2,4.16,1.17,5,LLY,대장주,1244.4,3.08,5.09,63.6,0.97,7.4,False
바이오헬스케어,A,조정기,74.2,4.16,1.17,5,REGN,대장주,826.64,2.68,23.13,80.8,0.76,7.4,False
로봇 자동화,B,태동기,57.8,-4.79,1.4,3,ISRG,대장주,374.48,-6.68,12.79,59.9,0.82,3.7,False
로봇 자동화,B,태동기,57.8,-4.79,1.4,3,TER,대장주,383.15,-6.67,2.52,53.5,0.77,3.7,False
에너지 원유,B,조정기,70.6,4.41,0.91,4,XOM,대장주,166.15,5.43,6.59,71.8,0.98,7.7,False
에너지 원유,B,조정기,70.6,4.41,0.91,4,CVX,대장주,205.77,4.99,6.76,64.5,1.01,7.6,False
에너지 원유,B,조정기,70.6,4.41,0.91,4,SLB,후발주,53.55,2.86,13.41,65.4,0.66,6.4,False
금융,B,태동기,50.1,-2.25,1.09,2,JPM,대장주,351.55,-3.18,0.47,49.7,0.95,3.9,False
금융,B,태동기,50.1,-2.25,1.09,2,GS,대장주,1001.95,-3.9,-6.77,44.7,0.98,3.3,False
금융,B,태동기,50.1,-2.25,1.09,2,BAC,후발주,61.86,-3.48,0.95,49.4,0.99,3.1,False
금 귀금속,B,과열기,84.1,13.12,1.13,4,NEM,대장주,127.64,11.78,34.76,83.9,1.03,8.1,False
금 귀금속,B,과열기,84.1,13.12,1.13,4,GOLD,대장주,45.66,4.22,15.51,63.5,1.2,7.7,False
금 귀금속,B,과열기,84.1,13.12,1.13,4,AG,후발주,21.19,12.92,28.92,81.6,0.97,7.3,False
