theme,tier,lifecycle,etf_rsi,etf_5d,etf_volume_ratio,checklist_score,ticker,role,price,return_5d,return_20d,rsi,vol_ratio,total_score,entry_eligible
AI 반도체,S,조정기,70.2,9.45,0.99,5,AMD,대장주,518.09,15.75,53.69,74.4,0.79,7.1,False
AI 반도체,S,조정기,70.2,9.45,0.99,5,AMAT,후발주,449.68,5.48,17.68,63.7,0.77,6.6,False
AI 반도체,S,조정기,70.2,9.45,0.99,5,NVDA,대장주,214.25,-4.13,2.39,52.5,1.07,4.0,False
클라우드 SaaS,B,태동기,55.1,1.6,0.64,2,SNOW,후발주,239.2,43.26,69.38,90.4,1.62,7.5,False
클라우드 SaaS,B,태동기,55.1,1.6,0.64,2,MSFT,대장주,426.99,1.63,0.81,55.5,0.93,5.4,False
클라우드 SaaS,B,태동기,55.1,1.6,0.64,2,CRM,대장주,176.17,-2.18,-2.79,39.0,1.14,3.7,False
방위산업,B,조정기,68.5,5.5,1.02,2,LMT,대장주,537.21,2.8,5.37,69.6,0.96,6.9,False
방위산업,B,조정기,68.5,5.5,1.02,2,RTX,대장주,178.96,2.78,4.0,55.3,0.81,6.4,False
방위산업,B,조정기,68.5,5.5,1.02,2,GD,후발주,348.96,2.71,3.02,51.3,0.71,5.3,False
원자력 에너지,B,조정기,36.8,4.28,0.88,2,VST,대장주,160.28,11.31,4.22,55.1,1.0,7.0,False
원자력 에너지,B,조정기,36.8,4.28,0.88,2,UEC,후발주,13.55,6.27,1.04,37.6,0.83,5.8,False
원자력 에너지,B,조정기,36.8,4.28,0.88,2,CEG,대장주,286.31,1.8,-3.45,38.6,0.85,4.0,False
사이버보안,B,조정기,73.4,1.01,0.84,3,PANW,대장주,257.77,4.5,41.99,80.5,0.85,7.5,False
사이버보안,B,조정기,73.4,1.01,0.84,3,CRWD,대장주,671.0,3.21,48.33,86.7,0.84,7.0,False
사이버보안,B,조정기,73.4,1.01,0.84,3,FTNT,후발주,129.7,-0.23,50.62,78.6,0.84,6.5,False
바이오헬스케어,A,태동기,55.1,3.25,0.81,5,LLY,대장주,1126.8,10.59,32.6,79.1,0.93,7.9,False
바이오헬스케어,A,태동기,55.1,3.25,0.81,5,REGN,대장주,621.52,-4.35,-9.31,23.2,1.16,3.6,False
바이오헬스케어,A,태동기,55.1,3.25,0.81,5,MRNA,후발주,47.57,-1.14,4.05,47.5,0.54,2.6,False
로봇 자동화,S,가속기,63.3,5.78,1.34,7,TER,대장주,382.65,11.17,24.96,59.2,0.84,7.5,True
로봇 자동화,S,가속기,63.3,5.78,1.34,7,ISRG,대장주,423.63,-5.66,-6.65,37.6,0.99,3.6,False
에너지 원유,C,소멸,54.6,-4.77,1.13,1,SLB,후발주,55.12,-3.77,-1.04,60.7,1.21,3.5,False
에너지 원유,C,소멸,54.6,-4.77,1.13,1,CVX,대장주,183.03,-4.34,-3.91,53.2,0.96,3.3,False
에너지 원유,C,소멸,54.6,-4.77,1.13,1,XOM,대장주,146.96,-5.96,-4.34,51.9,0.85,3.2,False
금융,B,태동기,47.0,-0.75,0.95,2,GS,대장주,1008.37,2.67,11.35,74.6,1.04,7.1,False
금융,B,태동기,47.0,-0.75,0.95,2,JPM,대장주,296.73,-1.74,-4.05,39.9,0.99,3.8,False
금융,B,태동기,47.0,-0.75,0.95,2,BAC,후발주,50.77,-0.9,-3.99,36.5,0.99,3.1,False
금 귀금속,C,소멸,42.9,0.95,0.92,0,AG,후발주,20.58,3.21,8.7,46.9,0.73,6.4,False
금 귀금속,C,소멸,42.9,0.95,0.92,0,GOLD,대장주,42.83,4.44,-4.7,48.5,0.68,5.9,False
금 귀금속,C,소멸,42.9,0.95,0.92,0,NEM,대장주,108.23,1.02,0.81,43.3,0.92,4.6,False
