theme,tier,lifecycle,etf_rsi,etf_5d,etf_volume_ratio,checklist_score,ticker,role,price,return_5d,return_20d,rsi,vol_ratio,total_score,entry_eligible
AI 반도체,S,소멸,35.1,-4.8,0.87,4,NVDA,대장주,203.53,4.08,-0.65,45.4,0.92,6.4,False
AI 반도체,S,소멸,35.1,-4.8,0.87,4,AMD,대장주,534.39,-3.2,9.41,47.3,0.82,3.3,False
AI 반도체,S,소멸,35.1,-4.8,0.87,4,AMAT,후발주,575.39,-2.94,4.12,43.7,0.75,3.2,False
클라우드 SaaS,B,과열기,80.2,1.38,0.7,2,CRM,대장주,171.22,3.36,2.87,73.0,0.71,7.3,False
클라우드 SaaS,B,과열기,80.2,1.38,0.7,2,SNOW,후발주,268.65,2.5,11.76,80.9,0.68,5.9,False
클라우드 SaaS,B,과열기,80.2,1.38,0.7,2,MSFT,대장주,390.99,1.1,0.17,62.7,0.59,4.8,False
방위산업,B,태동기,49.3,-6.27,0.81,2,RTX,대장주,196.39,-2.47,6.61,73.1,0.76,4.2,False
방위산업,B,태동기,49.3,-6.27,0.81,2,GD,후발주,372.78,-1.09,4.34,79.4,0.61,3.8,False
방위산업,B,태동기,49.3,-6.27,0.81,2,LMT,대장주,520.68,-3.22,-5.1,61.1,0.61,3.3,False
원자력 에너지,B,소멸,22.1,-6.03,1.06,2,CEG,대장주,257.57,4.76,4.4,37.8,0.73,7.0,False
원자력 에너지,B,소멸,22.1,-6.03,1.06,2,VST,대장주,158.12,0.57,8.17,38.7,0.73,4.3,False
원자력 에너지,B,소멸,22.1,-6.03,1.06,2,UEC,후발주,10.07,-4.91,-5.27,30.4,0.69,2.3,False
사이버보안,A,과열기,81.0,-0.9,1.36,4,FTNT,후발주,160.62,-1.07,10.73,64.2,0.73,4.4,False
사이버보안,A,과열기,81.0,-0.9,1.36,4,PANW,대장주,330.3,-7.62,18.16,63.6,0.97,3.3,False
사이버보안,A,과열기,81.0,-0.9,1.36,4,CRWD,대장주,187.91,-5.75,8.69,65.4,0.72,3.2,False
바이오헬스케어,A,태동기,64.5,-3.4,0.98,4,REGN,대장주,663.09,2.04,8.44,70.9,0.7,7.1,False
바이오헬스케어,A,태동기,64.5,-3.4,0.98,4,LLY,대장주,1181.87,-1.52,1.8,63.6,0.73,4.0,False
바이오헬스케어,A,태동기,64.5,-3.4,0.98,4,MRNA,후발주,67.01,-18.08,34.99,58.5,0.72,2.1,False
로봇 자동화,B,조정기,37.9,-6.53,0.86,2,ISRG,대장주,407.12,-5.94,-1.4,52.6,0.78,3.8,False
로봇 자동화,B,조정기,37.9,-6.53,0.86,2,TER,대장주,341.11,-10.12,-10.56,34.5,0.65,3.5,False
에너지 원유,C,소멸,65.3,6.79,1.01,1,CVX,대장주,182.2,8.39,-1.95,60.1,0.8,6.9,False
에너지 원유,C,소멸,65.3,6.79,1.01,1,XOM,대장주,144.51,5.91,-1.43,61.9,0.83,6.8,False
에너지 원유,C,소멸,65.3,6.79,1.01,1,SLB,후발주,47.36,3.59,-15.43,46.4,0.63,3.5,False
금융,B,조정기,70.5,-0.12,0.87,2,JPM,대장주,334.53,-0.94,7.19,55.3,0.99,4.8,False
금융,B,조정기,70.5,-0.12,0.87,2,BAC,후발주,59.5,-0.67,7.87,62.6,0.79,4.3,False
금융,B,조정기,70.5,-0.12,0.87,2,GS,대장주,1045.91,-0.89,0.99,35.0,0.64,3.2,False
금 귀금속,C,소멸,33.7,-6.82,0.74,1,NEM,대장주,93.1,-5.19,-4.6,33.8,0.69,3.6,False
금 귀금속,C,소멸,33.7,-6.82,0.74,1,GOLD,대장주,38.04,-13.64,-12.13,35.3,0.92,3.5,False
금 귀금속,C,소멸,33.7,-6.82,0.74,1,AG,후발주,16.4,-5.26,-3.07,41.5,0.93,3.0,False
