theme,tier,lifecycle,etf_rsi,etf_5d,etf_volume_ratio,checklist_score,ticker,role,price,return_5d,return_20d,rsi,vol_ratio,total_score,entry_eligible
AI 반도체,S,소멸,35.9,-1.66,1.38,4,NVDA,대장주,206.64,5.15,5.67,45.7,1.05,7.3,False
AI 반도체,S,소멸,35.9,-1.66,1.38,4,AMD,대장주,484.64,-2.08,-12.21,39.6,1.13,3.1,False
AI 반도체,S,소멸,35.9,-1.66,1.38,4,AMAT,후발주,518.21,0.26,-12.58,38.5,1.1,3.1,False
클라우드 SaaS,S,태동기,57.9,7.91,1.09,5,MSFT,대장주,487.65,25.33,26.09,81.3,1.66,8.7,False
클라우드 SaaS,S,태동기,57.9,7.91,1.09,5,CRM,대장주,185.95,7.11,12.25,62.7,1.07,7.7,False
클라우드 SaaS,S,태동기,57.9,7.91,1.09,5,SNOW,후발주,307.53,12.68,17.34,70.0,1.44,6.9,False
방위산업,B,태동기,62.7,0.89,1.08,3,LMT,대장주,586.29,1.08,8.98,80.2,1.13,7.0,False
방위산업,B,태동기,62.7,0.89,1.08,3,RTX,대장주,216.65,-0.81,7.59,80.6,1.09,6.2,False
방위산업,B,태동기,62.7,0.89,1.08,3,GD,후발주,382.43,-1.72,1.47,62.1,1.24,3.7,False
원자력 에너지,C,소멸,50.2,1.61,0.87,1,CEG,대장주,273.71,1.37,11.32,62.9,0.98,7.3,False
원자력 에너지,C,소멸,50.2,1.61,0.87,1,VST,대장주,155.94,-0.73,-0.81,48.1,1.14,3.5,False
원자력 에너지,C,소멸,50.2,1.61,0.87,1,UEC,후발주,9.97,0.61,-5.85,45.3,1.14,2.8,False
사이버보안,A,조정기,39.6,3.52,0.72,5,FTNT,후발주,163.21,7.11,0.53,44.6,1.5,7.1,False
사이버보안,A,조정기,39.6,3.52,0.72,5,CRWD,대장주,202.54,12.45,1.58,42.9,1.01,6.8,False
사이버보안,A,조정기,39.6,3.52,0.72,5,PANW,대장주,347.13,9.39,-2.91,46.7,0.97,6.8,False
바이오헬스케어,B,소멸,36.2,-2.18,0.92,3,REGN,대장주,759.24,13.8,16.84,80.1,1.36,8.4,False
바이오헬스케어,B,소멸,36.2,-2.18,0.92,3,LLY,대장주,1121.36,-6.36,-6.56,43.9,1.1,3.7,False
바이오헬스케어,B,소멸,36.2,-2.18,0.92,3,MRNA,후발주,55.14,-0.88,-32.59,25.7,0.98,2.5,False
로봇 자동화,B,조정기,51.3,3.32,0.95,2,TER,대장주,365.8,9.27,-3.62,53.2,1.48,8.0,False
로봇 자동화,B,조정기,51.3,3.32,0.95,2,ISRG,대장주,375.41,5.21,-13.27,48.8,0.77,5.2,False
에너지 원유,C,소멸,61.0,0.74,0.88,1,XOM,대장주,155.06,0.19,13.65,71.9,1.01,7.3,False
에너지 원유,C,소멸,61.0,0.74,0.88,1,CVX,대장주,193.18,1.67,14.92,67.1,1.07,6.9,False
에너지 원유,C,소멸,61.0,0.74,0.88,1,SLB,후발주,49.31,-4.31,7.85,57.0,1.02,3.2,False
금융,B,태동기,61.7,0.88,1.07,2,BAC,후발주,62.48,0.56,4.31,61.7,0.83,4.6,False
금융,B,태동기,61.7,0.88,1.07,2,JPM,대장주,352.64,-1.0,4.42,59.6,0.73,4.1,False
금융,B,태동기,61.7,0.88,1.07,2,GS,대장주,1027.06,-2.02,-2.68,32.8,1.07,3.1,False
금 귀금속,C,소멸,52.6,0.42,1.06,0,GOLD,대장주,42.13,2.48,-4.36,62.6,1.0,5.6,False
금 귀금속,C,소멸,52.6,0.42,1.06,0,NEM,대장주,95.37,2.03,-2.88,51.2,0.87,4.9,False
금 귀금속,C,소멸,52.6,0.42,1.06,0,AG,후발주,15.7,-3.21,-9.3,40.6,1.27,3.2,False
