theme,tier,lifecycle,etf_rsi,etf_5d,etf_volume_ratio,checklist_score,ticker,role,price,return_5d,return_20d,rsi,vol_ratio,total_score,entry_eligible
AI 반도체,B,태동기,59.1,1.32,0.69,3,AMD,대장주,514.39,6.42,3.76,53.5,0.71,7.4,False
AI 반도체,B,태동기,59.1,1.32,0.69,3,NVDA,대장주,225.16,0.54,11.02,75.4,0.83,6.8,False
AI 반도체,B,태동기,59.1,1.32,0.69,3,AMAT,후발주,507.18,-5.93,-4.24,48.4,1.23,3.2,False
클라우드 SaaS,S,조정기,77.7,4.51,0.81,5,CRM,대장주,196.21,1.8,14.9,66.4,0.92,7.4,False
클라우드 SaaS,S,조정기,77.7,4.51,0.81,5,MSFT,대장주,495.4,-0.92,25.79,84.8,0.65,7.1,False
클라우드 SaaS,S,조정기,77.7,4.51,0.81,5,SNOW,후발주,328.92,-0.48,22.32,80.3,0.74,5.8,False
방위산업,B,태동기,63.0,0.99,0.63,3,LMT,대장주,608.68,3.53,19.64,63.7,0.77,6.7,False
방위산업,B,태동기,63.0,0.99,0.63,3,RTX,대장주,222.97,0.31,15.61,62.4,0.63,6.6,False
방위산업,B,태동기,63.0,0.99,0.63,3,GD,후발주,395.78,0.95,7.38,57.0,0.59,4.9,False
원자력 에너지,B,조정기,67.9,0.24,0.89,3,CEG,대장주,282.5,4.67,11.93,59.8,0.85,7.3,False
원자력 에너지,B,조정기,67.9,0.24,0.89,3,VST,대장주,148.13,5.36,-4.7,41.6,0.73,5.7,False
원자력 에너지,B,조정기,67.9,0.24,0.89,3,UEC,후발주,11.21,-0.44,20.8,66.8,0.71,5.7,False
사이버보안,A,조정기,72.3,2.39,1.17,4,PANW,대장주,384.27,5.61,7.13,78.8,0.89,7.0,False
사이버보안,A,조정기,72.3,2.39,1.17,4,CRWD,대장주,216.95,1.18,6.83,75.1,0.9,6.1,False
사이버보안,A,조정기,72.3,2.39,1.17,4,FTNT,후발주,160.01,0.23,-0.99,58.1,0.76,3.3,False
바이오헬스케어,B,태동기,63.0,0.03,0.88,3,REGN,대장주,803.48,2.44,18.74,90.1,0.92,7.7,False
바이오헬스케어,B,태동기,63.0,0.03,0.88,3,MRNA,후발주,63.32,7.01,2.43,66.4,1.19,6.6,False
바이오헬스케어,B,태동기,63.0,0.03,0.88,3,LLY,대장주,1180.16,-0.33,0.23,47.5,0.85,4.0,False
로봇 자동화,B,조정기,68.6,0.46,0.89,3,ISRG,대장주,394.51,4.14,14.21,71.9,0.83,7.5,False
로봇 자동화,B,조정기,68.6,0.46,0.89,3,TER,대장주,418.79,10.41,29.91,71.5,0.61,7.5,False
에너지 원유,C,소멸,66.2,7.67,0.88,1,CVX,대장주,200.0,7.2,6.73,62.2,1.04,7.7,False
에너지 원유,C,소멸,66.2,7.67,0.88,1,XOM,대장주,160.1,4.61,8.65,60.5,0.97,7.5,False
에너지 원유,C,소멸,66.2,7.67,0.88,1,SLB,후발주,53.77,6.41,14.43,57.4,0.71,6.6,False
금융,B,조정기,65.0,0.97,0.79,2,JPM,대장주,362.84,1.49,6.37,57.8,0.74,6.0,False
금융,B,조정기,65.0,0.97,0.79,2,BAC,후발주,64.49,2.09,5.26,65.9,0.85,6.0,False
금융,B,조정기,65.0,0.97,0.79,2,GS,대장주,1039.42,-0.02,-2.42,47.9,0.89,3.4,False
금 귀금속,B,조정기,73.7,0.09,1.03,2,NEM,대장주,117.76,4.23,31.28,80.3,0.98,7.6,False
금 귀금속,B,조정기,73.7,0.09,1.03,2,GOLD,대장주,44.0,1.13,14.85,63.4,0.89,7.3,False
금 귀금속,B,조정기,73.7,0.09,1.03,2,AG,후발주,19.26,4.76,21.92,69.6,0.88,6.8,False
