ticker,name,sector,grade,score,nature,price,drop,bounce,roe,fwd_pe,quality,analyst_rec,analyst_upside,insider_signal,rsi,shares,amount,stop_loss,stop_pct,target_1,target_2,target_3,risk_reward,reasons,warnings
SNDK,Sandisk Corporation,Technology,STRONG BUY,75.93615,MOSTLY_TEMPORARY,1484.97998046875,-0.36403426960653107,0.4617527085180057,0.9164,5.6,99.7446,buy,0.4310542902934719,SELLING,62.98183787697499,3,4454.94,1366.18,-0.07999999999999988,1675.45,2005.22,2203.09,4.4,Quality 100/100 (top tier) | Fwd PE 5.6 (cheap) | Strong bounce +46.2% | Analyst: buy (23) | Upside to target: +43%,Insider selling (8 sells)
APP,Applovin Corporation,Communication Services,STRONG BUY,67.4435,MOSTLY_TEMPORARY,317.760009765625,-0.48222257871093394,0.06420179397450808,2.03686,14.9,77.774,buy,0.6540174974823767,SELLING,38.804564701673605,15,4766.4,292.5,-0.07949398599356917,456.15,534.92,582.19,8.6,Bounce +6.4% | Analyst: buy (31) | Upside to target: +65%,Insider selling (7 sells)
WDC,Western Digital Corporation,Technology,STRONG BUY,64.934575,MOSTLY_TEMPORARY,459.45001220703125,-0.3843050745315482,0.05790933714244437,1.30853,14.5,91.7383,buy,0.44720143650016325,SELLING,54.12353318132367,10,4594.5,422.69,-0.07999999999999992,590.26,668.25,715.04,5.7,Quality 92/100 (top tier) | Bounce +5.8% | Analyst: buy (24) | Upside to target: +45%,Insider selling (6 sells)
TTD,"The Trade Desk, Inc.",Communication Services,WATCH,36.0,MIXED,13.569999694824219,-0.44859815691689386,0.04144282217340405,0.15441,13.6,77.2154,hold,-0.01350994841562268,SELLING,52.343739716654646,368,4993.76,12.64,-0.0685998507573453,18.82,21.72,23.45,8.7,,Insider selling (2 sells) | Mixed signals — score ×0.75
QCOM,QUALCOMM Incorporated,Technology,WATCH,44.0,MIXED,164.19000244140625,-0.34349283204527553,0.11232302528621471,0.33754003,16.1,86.071,none,0.17607649674157985,NEUTRAL,54.76866484012474,30,4925.7,151.82,-0.07534398139357318,198.85,224.47,239.85,4.9,Quality 86/100 (top tier) | Strong bounce +11.2%,Mixed signals — score ×0.75
LRCX,Lam Research Corporation,Technology,STRONG BUY,61.156175,MOSTLY_TEMPORARY,301.8999938964844,-0.3033023255912222,0.19635421674070822,0.65066004,26.1,88.62469999999999,strong_buy,0.22952480953958268,SELLING,48.16655758055628,16,4830.4,285.23,-0.05523134074186347,342.84,388.08,415.23,5.2,Quality 89/100 (top tier) | Strong bounce +19.6% | Analyst: strong_buy (31),Insider selling (10 sells)
TER,"Teradyne, Inc.",Technology,WATCH,43.7611,MOSTLY_TEMPORARY,354.9700012207031,-0.26634837155378716,0.11133025625650472,0.36465,30.5,99.0444,buy,0.25775888103219985,SELLING,47.391728524781016,14,4969.58,333.9,-0.059343577509236016,401.62,442.73,467.4,4.2,Quality 99/100 (top tier) | Strong bounce +11.1% | Analyst: buy (15),Fwd PE 30.5 (expensive) | Insider selling (11 sells) | 고PER(30x) × 금리 페널티 -15점 | 매크로 환경 페널티 -15점 적용
MU,"Micron Technology, Inc.",Technology,STRONG BUY,75.6835,MOSTLY_TEMPORARY,932.8599853515625,-0.2311847488243156,0.26232744973147837,0.66638,6.0,98.734,strong_buy,0.6223323971442661,SELLING,59.9799951513672,5,4664.3,858.23,-0.08000000000000002,976.19,1094.78,1437.74,2.2,Quality 99/100 (top tier) | Fwd PE 6.0 (cheap) | Strong bounce +26.2% | Analyst: strong_buy (44) | Upside to target: +62%,Insider selling (12 sells)
GLW,Corning Incorporated,Technology,WATCH,33.08130833333333,MOSTLY_TEMPORARY,148.97999572753906,-0.4173413340176286,0.20096728788776913,0.16813,34.5,56.32523333333334,strong_buy,0.28473620620217494,SELLING,43.90108799894176,33,4916.34,138.52,-0.07020469917626376,189.87,222.78,242.53,7.1,Strong bounce +20.1% | Analyst: strong_buy (15),Fwd PE 34.5 (expensive) | Insider selling (11 sells) | 고PER(34x) × 금리 페널티 -15점 | 매크로 환경 페널티 -15점 적용
FSLR,"First Solar, Inc.",Technology,BUY,54.0,MIXED,204.4600067138672,-0.35754907552594756,0.026199563726082228,0.18509,8.8,76.31066566666667,buy,0.34225765430891114,SELLING,20.771166232053332,24,4907.04,193.26,-0.054764751138681386,258.75,288.5,306.35,7.5,Fwd PE 8.8 (cheap) | Analyst: buy (30) | Upside to target: +34% | RSI 21 (oversold),Insider selling (4 sells) | Mixed signals — score ×0.75
