theme,tier,lifecycle,etf_rsi,etf_5d,etf_volume_ratio,checklist_score,ticker,role,price,return_5d,return_20d,rsi,vol_ratio,total_score,entry_eligible
AI 반도체,S,태동기,47.2,10.33,1.31,6,NVDA,대장주,211.94,7.58,7.62,49.6,1.04,7.5,False
AI 반도체,S,태동기,47.2,10.33,1.31,6,AMD,대장주,518.58,14.07,0.48,48.4,1.13,6.9,False
AI 반도체,S,태동기,47.2,10.33,1.31,6,AMAT,후발주,546.62,14.73,-1.42,45.3,1.08,6.7,False
클라우드 SaaS,S,태동기,64.6,9.14,1.0,5,MSFT,대장주,492.81,25.29,26.74,80.6,1.72,8.8,False
클라우드 SaaS,S,태동기,64.6,9.14,1.0,5,CRM,대장주,190.99,5.23,12.67,65.6,0.97,7.6,False
클라우드 SaaS,S,태동기,64.6,9.14,1.0,5,SNOW,후발주,316.77,17.17,20.56,76.7,1.46,7.1,False
방위산업,B,조정기,65.5,2.31,1.06,3,LMT,대장주,589.33,1.38,10.08,81.0,1.13,7.1,False
방위산업,B,조정기,65.5,2.31,1.06,3,RTX,대장주,217.93,-0.3,8.5,80.0,1.06,6.5,False
방위산업,B,조정기,65.5,2.31,1.06,3,GD,후발주,385.76,-1.89,2.97,69.1,1.08,3.7,False
원자력 에너지,B,태동기,55.8,7.29,0.87,2,CEG,대장주,267.25,2.86,11.49,56.4,1.03,7.4,False
원자력 에너지,B,태동기,55.8,7.29,0.87,2,UEC,후발주,10.5,11.23,6.06,54.1,1.17,6.3,False
원자력 에너지,B,태동기,55.8,7.29,0.87,2,VST,대장주,143.23,-3.64,-8.03,39.0,1.26,3.1,False
사이버보안,A,태동기,56.0,7.91,0.93,5,FTNT,후발주,168.29,12.21,6.06,55.2,1.51,7.3,False
사이버보안,A,태동기,56.0,7.91,0.93,5,PANW,대장주,366.34,14.84,8.69,55.9,1.04,7.0,False
사이버보안,A,태동기,56.0,7.91,0.93,5,CRWD,대장주,211.22,16.18,8.53,53.6,1.01,6.9,False
바이오헬스케어,B,조정기,43.5,1.4,0.9,3,REGN,대장주,760.66,9.42,12.49,79.2,1.33,8.2,False
바이오헬스케어,B,조정기,43.5,1.4,0.9,3,LLY,대장주,1115.68,-8.6,-9.7,42.1,1.18,3.6,False
바이오헬스케어,B,조정기,43.5,1.4,0.9,3,MRNA,후발주,56.99,2.12,-28.56,28.5,0.96,2.6,False
로봇 자동화,A,태동기,59.9,8.83,1.1,4,TER,대장주,403.56,25.86,17.62,63.8,1.44,8.2,False
로봇 자동화,A,태동기,59.9,8.83,1.1,4,ISRG,대장주,368.27,1.79,-13.82,43.8,0.74,4.1,False
에너지 원유,C,소멸,62.3,1.65,0.95,1,XOM,대장주,153.96,0.6,8.66,70.3,0.98,6.7,False
에너지 원유,C,소멸,62.3,1.65,0.95,1,CVX,대장주,190.4,1.5,9.42,62.2,1.16,6.7,False
에너지 원유,C,소멸,62.3,1.65,0.95,1,SLB,후발주,50.81,1.66,9.46,61.6,0.92,6.2,False
금융,B,태동기,62.5,0.49,1.05,2,JPM,대장주,357.52,0.06,5.39,60.2,0.8,5.0,False
금융,B,태동기,62.5,0.49,1.05,2,BAC,후발주,62.9,0.45,5.08,58.8,0.86,4.5,False
금융,B,태동기,62.5,0.49,1.05,2,GS,대장주,1052.98,1.9,0.96,35.5,1.03,4.2,False
금 귀금속,C,소멸,58.4,5.0,1.1,1,GOLD,대장주,42.69,4.63,-1.52,62.8,0.98,7.4,False
금 귀금속,C,소멸,58.4,5.0,1.1,1,NEM,대장주,97.73,6.79,2.81,54.5,0.9,7.4,False
금 귀금속,C,소멸,58.4,5.0,1.1,1,AG,후발주,16.49,5.1,0.24,47.6,1.26,6.8,False
