ticker,name,sector,grade,score,nature,price,drop,bounce,roe,fwd_pe,quality,analyst_rec,analyst_upside,insider_signal,rsi,shares,amount,stop_loss,stop_pct,target_1,target_2,target_3,risk_reward,reasons,warnings
SNDK,Sandisk Corporation,Technology,STRONG BUY,71.5,MOSTLY_TEMPORARY,1344.2900390625,-0.4242869211723769,0.32326336481189827,0.9164,5.1,70.0,strong_buy,0.527572175646624,SELLING,41.035907962909356,3,4032.87,1236.75,-0.07999999999999999,1675.45,2005.22,2203.09,6.1,Fwd PE 5.1 (cheap) | Strong bounce +32.3% | Analyst: strong_buy (22) | Upside to target: +53%,Insider selling (8 sells)
QCOM,QUALCOMM Incorporated,Technology,BUY,50.0,MIXED,163.07000732421875,-0.3479710877951668,0.1047354965784277,0.33754003,16.0,86.071,hold,0.19437456307107384,NEUTRAL,43.97843473061584,30,4892.1,150.02,-0.08000000000000004,198.85,224.47,239.85,4.7,Quality 86/100 (top tier) | Strong bounce +10.5%,Mixed signals — score ×0.75
KLAC,KLA Corporation,Technology,BUY,46.156,MOSTLY_TEMPORARY,208.25,-0.3097676381360193,0.22363239328172177,0.87496,31.7,80.624,buy,0.1129785834333734,SELLING,44.9017331154524,24,4998.0,191.59,-0.07999999999999999,235.95,268.83,288.56,3.6,Quality 81/100 (top tier) | Strong bounce +22.4% | Analyst: buy (27),Fwd PE 31.7 (expensive) | Insider selling (9 sells) | 고PER(32x) × 금리 페널티 -8점 | 매크로 환경 페널티 -8점 적용
MRVL,"Marvell Technology, Inc.",Technology,WATCH,40.83204129166667,MOSTLY_TEMPORARY,217.0800018310547,-0.3138022525277051,0.3285190326786497,0.16028,34.8,71.32816516666666,strong_buy,0.18350009213193283,SELLING,52.85251893914536,23,4992.84,199.71,-0.07999999999999989,239.88,278.11,301.06,3.5,Strong bounce +32.9% | Analyst: strong_buy (40),Fwd PE 34.8 (expensive) | Insider selling (7 sells) | 고PER(35x) × 금리 페널티 -8점 | 매크로 환경 페널티 -8점 적용
NFLX,"Netflix, Inc.",Communication Services,BUY,59.87795,MOSTLY_TEMPORARY,74.20999908447266,-0.31153169631541794,0.09778107632475805,0.49541,19.4,83.5118,buy,0.267169788438216,SELLING,68.54952539701878,67,4972.07,68.27,-0.08000000000000003,87.69,97.74,103.77,4.0,Quality 84/100 (top tier) | Bounce +9.8% | Analyst: buy (45),Insider selling (7 sells)
ROL,"Rollins, Inc.",Consumer Cyclical,BUY,45.144999999999996,MOSTLY_TEMPORARY,36.52000045776367,-0.3538668073916808,0.0,0.37008998,28.0,80.58,hold,0.2483088718510404,SELLING,27.233255951179856,136,4966.72,34.69,-0.050000000000000114,46.52,51.52,54.52,8.2,Quality 81/100 (top tier) | RSI 27 (oversold),No bounce — falling knife risk | Insider selling (1 sells)
LRCX,Lam Research Corporation,Technology,BUY,58.156175,MOSTLY_TEMPORARY,326.1099853515625,-0.24743268304332372,0.29229236165657174,0.65066004,28.2,88.62469999999999,strong_buy,0.1313222532274385,SELLING,51.71609439251361,15,4891.65,300.02,-0.07999999999999997,342.84,388.08,415.23,2.4,Quality 89/100 (top tier) | Strong bounce +29.2% | Analyst: strong_buy (31),Insider selling (10 sells)
AMAT,"Applied Materials, Inc.",Technology,BUY,48.09955,MOSTLY_TEMPORARY,548.1500244140625,-0.24183952363200206,0.25592853495911017,0.39692003,31.8,88.3982,strong_buy,0.15541882696342255,SELLING,47.63991997802208,9,4933.35,504.3,-0.07999999999999992,579.73,651.36,694.35,2.4,Quality 88/100 (top tier) | Strong bounce +25.6% | Analyst: strong_buy (35),Fwd PE 31.8 (expensive) | Insider selling (10 sells) | 고PER(32x) × 금리 페널티 -8점 | 매크로 환경 페널티 -8점 적용
GLW,Corning Incorporated,Technology,WATCH,37.08130833333333,MOSTLY_TEMPORARY,167.44000244140625,-0.3451445076356605,0.349778301670373,0.16813,38.8,56.32523333333334,strong_buy,0.14309603440038227,SELLING,55.82872641468145,29,4855.76,154.04,-0.07999999999999999,189.87,222.78,242.53,4.1,Strong bounce +35.0% | Analyst: strong_buy (15),Fwd PE 38.8 (expensive) | Insider selling (11 sells) | 고PER(39x) × 금리 페널티 -8점 | 매크로 환경 페널티 -8점 적용
PODD,Insulet Corporation,Healthcare,STRONG BUY,78.33775,TEMPORARY,145.05999755859375,-0.2879791851927803,0.08854872833686406,0.26016,18.8,81.351,buy,0.18508954915207493,BUYING,35.77712632792138,34,4932.04,133.46,-0.08000000000000002,168.49,186.11,196.68,3.5,Quality 81/100 (top tier) | Bounce +8.9% | Insider BUYING (2 buys) | Analyst: buy (22),
