theme,tier,lifecycle,etf_rsi,etf_5d,etf_volume_ratio,checklist_score,ticker,role,price,return_5d,return_20d,rsi,vol_ratio,total_score,entry_eligible
AI 반도체,B,조정기,53.0,4.95,1.05,3,AMD,대장주,516.13,13.15,6.86,62.6,1.16,7.9,False
AI 반도체,B,조정기,53.0,4.95,1.05,3,NVDA,대장주,218.29,-4.34,-3.0,52.6,0.84,3.8,False
AI 반도체,B,조정기,53.0,4.95,1.05,3,AMAT,후발주,456.49,4.72,-14.51,35.0,0.76,3.3,False
클라우드 SaaS,S,소멸,41.2,-7.6,1.29,4,MSFT,대장주,495.63,-2.84,-0.06,57.5,0.77,3.9,False
클라우드 SaaS,S,소멸,41.2,-7.6,1.29,4,CRM,대장주,247.72,-6.32,23.02,71.2,0.73,3.9,False
클라우드 SaaS,S,소멸,41.2,-7.6,1.29,4,SNOW,후발주,328.99,-7.71,-2.49,48.6,0.98,2.3,False
방위산업,B,소멸,20.3,-3.08,1.11,3,RTX,대장주,197.68,-2.2,-10.04,21.9,0.8,3.7,False
방위산업,B,소멸,20.3,-3.08,1.11,3,LMT,대장주,524.19,-1.64,-11.8,30.4,1.18,3.2,False
방위산업,B,소멸,20.3,-3.08,1.11,3,GD,후발주,355.9,-2.73,-9.43,21.2,1.11,3.0,False
원자력 에너지,B,소멸,40.6,-5.01,0.95,3,VST,대장주,148.38,2.88,1.35,71.4,1.11,6.8,False
원자력 에너지,B,소멸,40.6,-5.01,0.95,3,CEG,대장주,284.75,-0.11,2.35,59.0,1.06,4.9,False
원자력 에너지,B,소멸,40.6,-5.01,0.95,3,UEC,후발주,10.45,-9.21,-6.61,29.5,0.88,2.1,False
사이버보안,B,소멸,47.3,-1.46,0.62,3,PANW,대장주,330.65,-0.39,-16.5,41.4,0.84,3.4,False
사이버보안,B,소멸,47.3,-1.46,0.62,3,CRWD,대장주,206.74,-3.83,-8.33,56.1,0.7,3.3,False
사이버보안,B,소멸,47.3,-1.46,0.62,3,FTNT,후발주,156.07,-0.19,-5.66,52.2,0.75,3.3,False
바이오헬스케어,A,조정기,31.2,-4.98,0.87,4,MRNA,후발주,143.97,-3.29,126.19,49.4,0.33,5.3,False
바이오헬스케어,A,조정기,31.2,-4.98,0.87,4,LLY,대장주,1115.7,-3.79,-7.58,2.5,0.85,3.7,False
바이오헬스케어,A,조정기,31.2,-4.98,0.87,4,REGN,대장주,781.49,-7.35,-2.92,35.3,0.87,3.5,False
로봇 자동화,C,소멸,41.8,-0.83,0.53,1,TER,대장주,379.72,12.19,-7.47,51.5,1.02,7.5,False
로봇 자동화,C,소멸,41.8,-0.83,0.53,1,ISRG,대장주,369.15,-0.18,-8.0,43.3,1.28,4.2,False
에너지 원유,B,태동기,59.6,0.8,1.1,3,CVX,대장주,214.06,1.3,9.22,65.2,0.97,7.0,False
에너지 원유,B,태동기,59.6,0.8,1.1,3,XOM,대장주,165.99,2.33,5.33,51.6,1.01,6.5,False
에너지 원유,B,태동기,59.6,0.8,1.1,3,SLB,후발주,56.06,-2.35,8.24,58.7,1.0,3.5,False
금융,B,태동기,48.0,-2.24,1.03,2,JPM,대장주,356.23,-1.61,-1.89,56.8,0.95,4.1,False
금융,B,태동기,48.0,-2.24,1.03,2,BAC,후발주,62.69,-0.05,-1.69,62.0,0.98,3.6,False
금융,B,태동기,48.0,-2.24,1.03,2,GS,대장주,1029.18,-0.84,-0.81,48.2,0.84,3.4,False
금 귀금속,B,조정기,40.9,-4.33,0.71,3,GOLD,대장주,48.22,16.25,10.07,54.4,1.39,7.9,False
금 귀금속,B,조정기,40.9,-4.33,0.71,3,NEM,대장주,126.81,-2.78,11.28,43.3,0.85,3.9,False
금 귀금속,B,조정기,40.9,-4.33,0.71,3,AG,후발주,19.56,-8.56,4.24,40.2,0.86,2.9,False
