theme,tier,lifecycle,etf_rsi,etf_5d,etf_volume_ratio,checklist_score,ticker,role,price,return_5d,return_20d,rsi,vol_ratio,total_score,entry_eligible
AI 반도체,S,태동기,54.8,10.8,0.92,5,AMAT,후발주,592.92,19.3,45.89,75.6,1.23,7.4,False
AI 반도체,S,태동기,54.8,10.8,0.92,5,AMD,대장주,512.48,13.28,23.77,49.1,0.95,6.8,False
AI 반도체,S,태동기,54.8,10.8,0.92,5,NVDA,대장주,204.65,2.11,-7.13,43.8,0.77,4.2,False
클라우드 SaaS,B,태동기,46.4,-3.86,0.99,2,SNOW,후발주,234.52,-2.24,38.32,48.0,0.61,5.6,False
클라우드 SaaS,B,태동기,46.4,-3.86,0.99,2,MSFT,대장주,378.91,-4.64,-9.03,32.2,1.0,3.6,False
클라우드 SaaS,B,태동기,46.4,-3.86,0.99,2,CRM,대장주,155.02,-9.07,-13.38,38.2,0.96,3.5,False
방위산업,B,태동기,57.0,8.04,0.87,3,RTX,대장주,192.58,8.55,10.83,66.2,0.98,7.8,False
방위산업,B,태동기,57.0,8.04,0.87,3,GD,후발주,362.83,6.38,6.67,61.2,1.16,7.0,False
방위산업,B,태동기,57.0,8.04,0.87,3,LMT,대장주,532.32,1.39,1.74,49.3,0.96,4.6,False
원자력 에너지,B,조정기,40.3,7.9,0.88,2,CEG,대장주,267.17,10.26,2.49,39.3,0.93,7.4,False
원자력 에너지,B,조정기,40.3,7.9,0.88,2,VST,대장주,158.83,14.65,17.91,48.5,0.96,6.8,False
원자력 에너지,B,조정기,40.3,7.9,0.88,2,UEC,후발주,11.42,21.23,-4.11,40.4,1.08,6.1,False
사이버보안,B,태동기,52.6,1.36,0.65,3,PANW,대장주,282.13,7.18,17.49,60.7,0.75,6.8,False
사이버보안,B,태동기,52.6,1.36,0.65,3,CRWD,대장주,682.96,5.44,10.71,51.8,0.71,6.7,False
사이버보안,B,태동기,52.6,1.36,0.65,3,FTNT,후발주,144.14,3.79,12.93,63.8,0.95,6.7,False
바이오헬스케어,A,태동기,54.4,8.18,1.1,5,MRNA,후발주,61.8,34.38,35.17,73.8,1.43,7.0,False
바이오헬스케어,A,태동기,54.4,8.18,1.1,5,REGN,대장주,607.93,1.04,-3.41,44.3,0.82,4.1,False
바이오헬스케어,A,태동기,54.4,8.18,1.1,5,LLY,대장주,1112.0,-2.14,8.87,46.8,0.81,3.9,False
로봇 자동화,A,조정기,38.5,5.56,0.54,5,TER,대장주,408.56,17.54,27.12,55.0,1.1,7.7,False
로봇 자동화,A,조정기,38.5,5.56,0.54,5,ISRG,대장주,402.18,-2.39,-8.92,38.4,0.87,3.7,False
에너지 원유,C,소멸,39.7,-6.15,0.99,1,CVX,대장주,177.58,-6.44,-9.97,41.7,0.96,3.1,False
에너지 원유,C,소멸,39.7,-6.15,0.99,1,XOM,대장주,140.74,-6.56,-13.42,39.8,1.14,2.9,False
에너지 원유,C,소멸,39.7,-6.15,0.99,1,SLB,후발주,50.33,-9.33,-10.88,36.5,1.03,2.7,False
금융,B,조정기,73.2,3.48,1.1,4,JPM,대장주,333.46,7.87,12.77,83.6,1.05,8.0,False
금융,B,조정기,73.2,3.48,1.1,4,GS,대장주,1099.14,9.77,18.87,64.1,0.93,7.1,False
금융,B,조정기,73.2,3.48,1.1,4,BAC,후발주,56.53,3.65,12.08,88.6,0.88,6.9,False
금 귀금속,B,태동기,46.5,14.29,1.31,3,NEM,대장주,105.67,13.91,0.79,46.9,1.13,7.5,False
금 귀금속,B,태동기,46.5,14.29,1.31,3,GOLD,대장주,42.71,4.78,8.18,49.6,0.84,7.3,False
금 귀금속,B,태동기,46.5,14.29,1.31,3,AG,후발주,18.55,18.08,-1.24,40.9,1.15,6.7,False
