theme,tier,lifecycle,etf_rsi,etf_5d,etf_volume_ratio,checklist_score,ticker,role,price,return_5d,return_20d,rsi,vol_ratio,total_score,entry_eligible
AI 반도체,S,태동기,56.1,-6.21,0.96,4,AMAT,후발주,694.64,8.51,54.34,73.4,1.35,7.5,False
AI 반도체,S,태동기,56.1,-6.21,0.96,4,NVDA,대장주,194.97,-6.56,-7.55,37.5,0.96,3.5,False
AI 반도체,S,태동기,56.1,-6.21,0.96,4,AMD,대장주,539.49,-2.2,4.53,58.5,1.02,3.5,False
클라우드 SaaS,B,조정기,48.0,9.02,1.12,3,SNOW,후발주,251.65,11.06,-1.53,58.6,1.09,6.4,False
클라우드 SaaS,B,조정기,48.0,9.02,1.12,3,MSFT,대장주,368.57,0.33,-18.14,31.5,1.6,4.1,False
클라우드 SaaS,B,조정기,48.0,9.02,1.12,3,CRM,대장주,157.93,5.2,-17.14,24.4,0.85,4.1,False
방위산업,C,소멸,63.8,1.54,0.8,1,RTX,대장주,187.33,3.02,4.27,59.9,0.82,6.8,False
방위산업,C,소멸,63.8,1.54,0.8,1,GD,후발주,348.07,1.37,0.36,55.1,0.99,4.5,False
방위산업,C,소멸,63.8,1.54,0.8,1,LMT,대장주,502.07,1.72,-4.73,43.9,1.18,3.9,False
원자력 에너지,B,소멸,40.6,-6.1,0.77,3,CEG,대장주,259.32,-5.88,-9.88,56.9,0.75,3.8,False
원자력 에너지,B,소멸,40.6,-6.1,0.77,3,VST,대장주,162.38,-2.92,1.48,64.8,0.89,3.5,False
원자력 에너지,B,소멸,40.6,-6.1,0.77,3,UEC,후발주,10.83,-5.58,-21.35,39.1,0.79,2.2,False
사이버보안,A,조정기,65.4,8.18,1.13,5,PANW,대장주,332.0,15.92,17.86,82.6,0.85,7.3,False
사이버보안,A,조정기,65.4,8.18,1.13,5,CRWD,대장주,742.91,9.99,1.63,72.0,0.82,7.1,False
사이버보안,A,조정기,65.4,8.18,1.13,5,FTNT,후발주,155.42,6.9,12.65,66.4,0.92,6.9,False
바이오헬스케어,A,과열기,90.4,8.54,1.16,5,LLY,대장주,1229.93,11.6,11.31,67.5,1.17,8.0,False
바이오헬스케어,A,과열기,90.4,8.54,1.16,5,REGN,대장주,631.81,3.15,2.77,64.1,0.86,7.0,False
바이오헬스케어,A,과열기,90.4,8.54,1.16,5,MRNA,후발주,69.7,17.45,47.7,79.6,1.13,6.8,False
로봇 자동화,A,소멸,48.0,-3.75,0.69,4,TER,대장주,463.21,1.36,23.75,63.2,1.29,7.7,False
로봇 자동화,A,소멸,48.0,-3.75,0.69,4,ISRG,대장주,405.97,0.75,-4.4,40.2,1.04,4.1,False
에너지 원유,C,소멸,28.5,-0.89,0.85,0,XOM,대장주,136.06,-1.74,-6.33,20.9,0.88,3.2,False
에너지 원유,C,소멸,28.5,-0.89,0.85,0,CVX,대장주,168.47,-3.76,-7.67,21.1,1.04,3.1,False
에너지 원유,C,소멸,28.5,-0.89,0.85,0,SLB,후발주,46.38,-3.27,-14.53,11.3,1.23,2.9,False
금융,B,조정기,70.1,0.04,0.8,2,BAC,후발주,57.88,0.89,12.75,81.2,0.9,6.7,False
금융,B,조정기,70.1,0.04,0.8,2,JPM,대장주,329.39,-0.63,10.05,65.7,0.99,5.9,False
금융,B,조정기,70.1,0.04,0.8,2,GS,대장주,1020.21,-7.79,-0.08,44.9,0.95,3.1,False
금 귀금속,C,소멸,45.7,-7.07,0.93,1,GOLD,대장주,41.11,-1.67,-2.84,52.8,1.01,4.0,False
금 귀금속,C,소멸,45.7,-7.07,0.93,1,NEM,대장주,94.51,-7.16,-13.93,44.4,0.97,3.7,False
금 귀금속,C,소멸,45.7,-7.07,0.93,1,AG,후발주,16.81,-5.14,-20.26,48.1,0.89,3.0,False
