ticker,name,sector,grade,score,nature,price,drop,bounce,roe,fwd_pe,quality,analyst_rec,analyst_upside,insider_signal,rsi,shares,amount,stop_loss,stop_pct,target_1,target_2,target_3,risk_reward,reasons,warnings
PODD,Insulet Corporation,Healthcare,STRONG BUY,68.77379966666666,TEMPORARY,143.3000030517578,-0.4447243035424608,0.00610833687225555,0.22997999,17.7,75.09519866666666,strong_buy,0.7012045359385902,BUYING,42.53370606982763,34,4872.2,136.14,-0.05000000000000012,200.25,229.16,246.51,12.0,Insider BUYING (1 buys) | Analyst: strong_buy (23) | Upside to target: +70%,
INTU,Intuit Inc.,Technology,STRONG BUY,78.82626666666667,TEMPORARY,311.44000244140625,-0.35074413407366295,0.023295535389209664,0.22496,11.4,83.30506666666668,buy,0.5775018623169793,NEUTRAL,37.835549521491345,16,4983.04,295.22,-0.0520822514572379,392.02,435.85,466.73,7.7,Quality 83/100 (top tier) | Fwd PE 11.4 (cheap) | Analyst: buy (32) | Upside to target: +58%,
BSX,Boston Scientific Corporation,Healthcare,STRONG BUY,70.7745,TEMPORARY,47.689998626708984,-0.38575477844391404,0.00020969633953877686,0.14661,12.8,71.098,strong_buy,0.6537360033550011,BUYING,34.06527230601979,104,4959.76,45.31,-0.04999999999999997,62.66,70.15,74.92,9.4,Insider BUYING (3 buys) | Analyst: strong_buy (30) | Upside to target: +65%,
TPL,Texas Pacific Land Corporation,Energy,STRONG BUY,80.9422,TEMPORARY,406.760009765625,-0.24529543735024065,0.10463568321357555,0.36466,5.6,99.7688,hold,0.09401121054184287,BUYING,58.91158518602037,12,4881.12,374.22,-0.07999999999999993,453.6,496.28,521.89,2.8,Quality 100/100 (top tier) | Fwd PE 5.6 (cheap) | Strong bounce +10.5% | Insider BUYING (13 buys),
UHS,"Universal Health Services, Inc.",Healthcare,STRONG BUY,71.781875,TEMPORARY,145.97999572753906,-0.3789714781582942,0.024061680830240812,0.21369,5.8,67.1275,buy,0.4941611864638992,SELLING,12.247355372889885,34,4963.32,138.68,-0.05,188.81,211.93,225.81,9.0,Fwd PE 5.8 (cheap) | Analyst: buy (17) | Upside to target: +49% | RSI 12 (oversold),Insider selling (1 sells)
TTD,"The Trade Desk, Inc.",Communication Services,STRONG BUY,60.71513366666667,TEMPORARY,20.559999465942383,-0.3098355544116159,0.023394689386995814,0.16735001,9.6,78.86053466666667,buy,0.2326726653696499,SELLING,50.32618684907058,243,4996.08,19.49,-0.05217409269436294,24.94,27.37,28.82,6.3,Fwd PE 9.6 (cheap) | Analyst: buy (32),Insider selling (2 sells)
MKC,"McCormick & Company, Incorporat",Consumer Defensive,BUY,51.463725,TEMPORARY,46.290000915527344,-0.3481840689497953,0.015131632993317755,0.25347,13.8,69.8549,buy,0.3310732339598186,SELLING,54.33964382675589,108,4999.32,43.98,-0.05000000000000006,58.31,64.66,68.48,7.9,Analyst: buy (13) | Upside to target: +33%,Insider selling (2 sells)
AOS,A.O. Smith Corporation,Industrials,BUY,49.01890808333333,MOSTLY_TEMPORARY,56.72999954223633,-0.29100867994687507,0.017031208026703156,0.28267,13.6,80.07563233333333,hold,0.2499398907103827,SELLING,48.78993334441182,88,4992.24,53.89,-0.05000000000000007,67.9,73.96,77.59,6.1,Quality 80/100 (top tier),Insider selling (1 sells)
CTSH,Cognizant Technology Solutions ,Technology,STRONG BUY,67.28556666666667,MOSTLY_TEMPORARY,53.5099983215332,-0.2973336063718699,0.17222784399059332,0.14876,8.7,65.14226666666667,buy,0.35078247056624945,SELLING,71.73965877196387,93,4976.43,49.23,-0.08,60.9,68.53,73.1,3.5,Fwd PE 8.7 (cheap) | Strong bounce +17.2% | Analyst: buy (27) | Upside to target: +35%,Insider selling (4 sells)
ACN,Accenture plc,Technology,STRONG BUY,75.48413358333333,TEMPORARY,177.42999267578125,-0.2595296289348138,0.11143819440083494,0.24763,11.9,73.93653433333334,buy,0.3800176971199909,NEUTRAL,63.462984111880814,28,4968.04,163.24,-0.08000000000000002,199.63,219.62,232.61,3.0,Fwd PE 11.9 (cheap) | Strong bounce +11.1% | Analyst: buy (26) | Upside to target: +38%,
