theme,tier,lifecycle,etf_rsi,etf_5d,etf_volume_ratio,checklist_score,ticker,role,price,return_5d,return_20d,rsi,vol_ratio,total_score,entry_eligible
AI 반도체,B,조정기,43.2,-3.26,0.79,2,AMD,대장주,479.18,-1.08,5.4,49.1,0.68,4.0,False
AI 반도체,B,조정기,43.2,-3.26,0.79,2,NVDA,대장주,213.05,-3.04,8.14,42.4,0.95,3.9,False
AI 반도체,B,조정기,43.2,-3.26,0.79,2,AMAT,후발주,480.04,-6.57,0.86,35.6,0.84,2.8,False
클라우드 SaaS,B,조정기,57.8,-0.87,0.78,3,CRM,대장주,205.69,4.87,13.33,60.2,0.97,7.5,False
클라우드 SaaS,B,조정기,57.8,-0.87,0.78,3,MSFT,대장주,491.71,2.29,25.24,53.7,0.56,7.2,False
클라우드 SaaS,B,조정기,57.8,-0.87,0.78,3,SNOW,후발주,317.02,-2.55,17.26,50.1,0.77,3.4,False
방위산업,A,소멸,22.4,-7.08,1.09,4,RTX,대장주,210.28,-6.75,-3.48,32.1,1.04,3.5,False
방위산업,A,소멸,22.4,-7.08,1.09,4,GD,후발주,376.58,-4.3,-4.22,41.9,0.94,3.1,False
방위산업,A,소멸,22.4,-7.08,1.09,4,LMT,대장주,556.52,-8.34,-4.26,42.4,1.09,3.0,False
원자력 에너지,B,조정기,66.6,8.36,0.96,2,CEG,대장주,278.42,4.34,7.32,62.5,0.86,7.4,False
원자력 에너지,B,조정기,66.6,8.36,0.96,2,UEC,후발주,13.27,21.08,40.57,75.2,1.25,6.9,False
원자력 에너지,B,조정기,66.6,8.36,0.96,2,VST,대장주,139.03,-1.06,-6.47,47.4,0.93,3.4,False
사이버보안,A,조정기,38.5,-6.24,1.03,4,PANW,대장주,339.9,-9.15,6.55,40.1,0.91,3.0,False
사이버보안,A,조정기,38.5,-6.24,1.03,4,FTNT,후발주,153.66,-2.75,2.45,37.5,0.76,3.0,False
사이버보안,A,조정기,38.5,-6.24,1.03,4,CRWD,대장주,185.38,-12.93,1.97,32.7,1.13,2.9,False
바이오헬스케어,S,조정기,72.0,5.61,1.37,7,MRNA,후발주,158.83,152.27,184.62,74.9,3.39,8.1,False
바이오헬스케어,S,조정기,72.0,5.61,1.37,7,REGN,대장주,833.56,2.88,20.05,74.9,0.83,7.5,False
바이오헬스케어,S,조정기,72.0,5.61,1.37,7,LLY,대장주,1233.66,0.65,1.21,60.8,0.95,5.1,False
로봇 자동화,C,소멸,35.2,-1.09,1.27,1,ISRG,대장주,371.84,-4.94,2.78,47.9,0.84,3.8,False
로봇 자동화,C,소멸,35.2,-1.09,1.27,1,TER,대장주,366.43,-9.36,14.28,43.9,0.67,3.6,False
에너지 원유,B,조정기,74.6,-2.54,0.97,3,SLB,후발주,53.29,0.15,6.62,64.9,0.97,5.1,False
에너지 원유,B,조정기,74.6,-2.54,0.97,3,CVX,대장주,199.89,-2.0,7.49,73.4,0.94,4.9,False
에너지 원유,B,조정기,74.6,-2.54,0.97,3,XOM,대장주,160.64,-2.97,5.65,67.5,0.99,4.2,False
금융,B,태동기,53.6,0.81,1.0,3,GS,대장주,1058.88,1.77,2.47,49.6,1.17,5.3,False
금융,B,태동기,53.6,0.81,1.0,3,JPM,대장주,356.69,-1.81,-0.17,46.4,1.02,4.0,False
금융,B,태동기,53.6,0.81,1.0,3,BAC,후발주,62.43,-2.8,-0.3,44.5,1.06,3.2,False
금 귀금속,B,과열기,82.3,18.63,1.24,4,NEM,대장주,135.14,16.52,47.66,82.9,1.12,8.2,False
금 귀금속,B,과열기,82.3,18.63,1.24,4,GOLD,대장주,46.85,11.97,14.83,61.0,1.28,7.9,False
금 귀금속,B,과열기,82.3,18.63,1.24,4,AG,후발주,21.24,14.94,35.48,72.9,1.04,7.2,False
