theme,tier,lifecycle,etf_rsi,etf_5d,etf_volume_ratio,checklist_score,ticker,role,price,return_5d,return_20d,rsi,vol_ratio,total_score,entry_eligible
AI 반도체,S,태동기,63.1,-7.09,1.51,5,AMAT,후발주,499.21,1.87,12.67,72.8,1.13,7.0,False
AI 반도체,S,태동기,63.1,-7.09,1.51,5,NVDA,대장주,208.19,-6.46,-5.02,40.3,0.97,3.7,False
AI 반도체,S,태동기,63.1,-7.09,1.51,5,AMD,대장주,475.51,-8.83,3.64,61.1,1.04,3.3,False
클라우드 SaaS,B,태동기,55.5,-10.38,0.83,2,SNOW,후발주,239.66,-8.23,58.19,70.1,0.68,5.4,False
클라우드 SaaS,B,태동기,55.5,-10.38,0.83,2,MSFT,대장주,403.41,-8.59,-2.03,44.4,0.91,3.6,False
클라우드 SaaS,B,태동기,55.5,-10.38,0.83,2,CRM,대장주,175.35,-12.69,-1.21,47.5,0.87,3.5,False
방위산업,C,소멸,64.3,0.93,1.05,1,RTX,대장주,181.56,4.19,2.08,62.4,0.91,7.4,False
방위산업,C,소멸,64.3,0.93,1.05,1,LMT,대장주,530.13,3.25,4.17,55.0,0.8,6.2,False
방위산업,C,소멸,64.3,0.93,1.05,1,GD,후발주,345.68,2.39,0.48,55.9,1.03,5.3,False
원자력 에너지,B,소멸,43.3,-13.48,1.12,2,CEG,대장주,251.65,-7.7,-15.9,45.9,0.9,3.7,False
원자력 에너지,B,소멸,43.3,-13.48,1.12,2,VST,대장주,146.22,-7.44,-3.83,60.5,0.68,3.1,False
원자력 에너지,B,소멸,43.3,-13.48,1.12,2,UEC,후발주,10.65,-31.02,-35.34,43.1,1.37,2.3,False
사이버보안,A,태동기,55.9,-9.76,1.11,4,CRWD,대장주,644.93,-16.13,18.93,53.9,1.28,3.2,False
사이버보안,A,태동기,55.9,-9.76,1.11,4,FTNT,후발주,138.39,-7.03,19.88,60.5,1.07,3.2,False
사이버보안,A,태동기,55.9,-9.76,1.11,4,PANW,대장주,260.52,-12.34,21.93,58.2,0.95,3.0,False
바이오헬스케어,A,조정기,56.6,2.83,1.03,4,LLY,대장주,1144.68,7.57,18.58,73.4,1.17,8.1,False
바이오헬스케어,A,조정기,56.6,2.83,1.03,4,MRNA,후발주,47.73,4.58,-9.74,56.0,0.98,4.5,False
바이오헬스케어,A,조정기,56.6,2.83,1.03,4,REGN,대장주,616.18,2.2,-13.42,45.1,0.85,4.2,False
로봇 자동화,A,소멸,51.2,-8.14,1.12,4,ISRG,대장주,426.61,6.04,1.56,42.3,0.99,7.4,False
로봇 자동화,A,소멸,51.2,-8.14,1.12,4,TER,대장주,369.21,-5.96,0.74,61.1,1.09,4.1,False
에너지 원유,C,소멸,32.0,-0.98,0.9,0,SLB,후발주,55.85,-0.74,2.21,47.8,0.9,3.3,False
에너지 원유,C,소멸,32.0,-0.98,0.9,0,XOM,대장주,148.91,-0.43,0.16,28.6,0.84,3.2,False
에너지 원유,C,소멸,32.0,-0.98,0.9,0,CVX,대장주,186.76,-0.42,2.02,33.1,0.71,3.2,False
금융,B,가속기,64.0,1.94,1.2,2,JPM,대장주,312.7,3.9,4.23,68.8,0.92,7.5,True
금융,B,가속기,64.0,1.94,1.2,2,BAC,후발주,54.42,4.24,8.22,75.9,1.0,6.8,False
금융,B,가속기,64.0,1.94,1.2,2,GS,대장주,1032.01,-3.06,9.7,68.3,1.1,4.0,False
금 귀금속,C,소멸,40.3,-11.88,1.12,1,GOLD,대장주,41.89,4.67,-2.95,57.8,0.92,6.9,False
금 귀금속,C,소멸,40.3,-11.88,1.12,1,NEM,대장주,98.54,-10.01,-18.15,39.6,1.03,3.5,False
금 귀금속,C,소멸,40.3,-11.88,1.12,1,AG,후발주,16.54,-21.2,-29.79,38.5,1.03,2.7,False
