theme,tier,lifecycle,etf_rsi,etf_5d,etf_volume_ratio,checklist_score,ticker,role,price,return_5d,return_20d,rsi,vol_ratio,total_score,entry_eligible
AI 반도체,S,태동기,45.9,-12.29,0.94,4,NVDA,대장주,204.12,2.01,-2.17,46.6,0.89,4.8,False
AI 반도체,S,태동기,45.9,-12.29,0.94,4,AMD,대장주,517.41,-10.93,5.52,51.7,0.89,2.9,False
AI 반도체,S,태동기,45.9,-12.29,0.94,4,AMAT,후발주,570.5,-21.09,15.92,50.2,0.91,2.7,False
클라우드 SaaS,B,조정기,69.4,5.32,0.72,3,CRM,대장주,166.58,6.33,-8.51,55.4,0.68,6.8,False
클라우드 SaaS,B,조정기,69.4,5.32,0.72,3,SNOW,후발주,261.31,2.68,8.68,69.1,0.77,6.0,False
클라우드 SaaS,B,조정기,69.4,5.32,0.72,3,MSFT,대장주,383.34,2.77,-6.9,45.4,0.73,4.4,False
방위산업,C,소멸,50.1,-1.15,1.05,1,RTX,대장주,194.91,2.73,9.1,58.7,0.87,7.2,False
방위산업,C,소멸,50.1,-1.15,1.05,1,GD,후발주,374.31,6.13,10.3,58.4,0.76,6.6,False
방위산업,C,소멸,50.1,-1.15,1.05,1,LMT,대장주,527.96,3.63,1.52,47.3,0.77,5.8,False
원자력 에너지,B,소멸,21.1,-4.22,0.94,2,CEG,대장주,244.52,-1.55,-2.45,33.2,1.12,3.8,False
원자력 에너지,B,소멸,21.1,-4.22,0.94,2,VST,대장주,154.82,-2.4,5.54,46.0,0.83,3.3,False
원자력 에너지,B,소멸,21.1,-4.22,0.94,2,UEC,후발주,9.93,-6.85,-21.25,27.7,0.55,2.2,False
사이버보안,A,과열기,83.1,3.74,1.27,5,CRWD,대장주,191.12,0.18,16.04,72.9,0.82,6.7,False
사이버보안,A,과열기,83.1,3.74,1.27,5,FTNT,후발주,156.71,2.01,9.56,61.8,0.74,6.2,False
사이버보안,A,과열기,83.1,3.74,1.27,5,PANW,대장주,320.59,-5.99,20.37,64.9,1.07,3.5,False
바이오헬스케어,A,과열기,92.0,2.98,0.87,5,REGN,대장주,662.88,6.31,8.43,69.6,0.87,7.6,False
바이오헬스케어,A,과열기,92.0,2.98,0.87,5,MRNA,후발주,73.8,5.38,55.04,69.9,1.11,6.5,False
바이오헬스케어,A,과열기,92.0,2.98,0.87,5,LLY,대장주,1215.83,1.37,5.8,66.4,0.83,6.3,False
로봇 자동화,B,소멸,43.4,-5.43,0.9,2,ISRG,대장주,415.1,4.38,-0.84,49.0,0.99,6.7,False
로봇 자동화,B,소멸,43.4,-5.43,0.9,2,TER,대장주,351.57,-27.34,-6.17,42.6,0.85,3.5,False
에너지 원유,C,소멸,53.8,4.69,0.95,1,CVX,대장주,175.97,6.16,-7.01,43.8,0.91,6.1,False
에너지 원유,C,소멸,53.8,4.69,0.95,1,XOM,대장주,141.13,3.23,-7.0,48.1,0.76,4.2,False
에너지 원유,C,소멸,53.8,4.69,0.95,1,SLB,후발주,47.43,2.02,-16.13,26.8,0.76,3.2,False
금융,B,태동기,57.0,2.54,1.06,4,BAC,후발주,58.3,2.32,8.71,58.4,0.88,6.3,False
금융,B,태동기,57.0,2.54,1.06,4,JPM,대장주,330.62,1.46,6.75,50.9,1.07,6.2,False
금융,B,태동기,57.0,2.54,1.06,4,GS,대장주,1029.64,1.81,-1.47,33.6,0.69,3.4,False
금 귀금속,C,소멸,23.5,-2.54,0.85,1,GOLD,대장주,41.28,-0.79,2.03,38.5,0.98,3.8,False
금 귀금속,C,소멸,23.5,-2.54,0.85,1,NEM,대장주,93.2,-0.21,-5.85,23.9,0.81,3.8,False
금 귀금속,C,소멸,23.5,-2.54,0.85,1,AG,후발주,15.8,-6.84,-7.98,25.2,0.88,2.8,False
