theme,tier,lifecycle,etf_rsi,etf_5d,etf_volume_ratio,checklist_score,ticker,role,price,return_5d,return_20d,rsi,vol_ratio,total_score,entry_eligible
AI 반도체,B,소멸,48.1,-1.43,0.9,3,AMD,대장주,552.05,5.84,5.51,56.1,0.92,6.8,False
AI 반도체,B,소멸,48.1,-1.43,0.9,3,NVDA,대장주,195.55,1.57,-10.57,40.9,0.91,4.1,False
AI 반도체,B,소멸,48.1,-1.43,0.9,3,AMAT,후발주,592.79,-5.43,18.16,52.5,1.06,3.1,False
클라우드 SaaS,B,조정기,71.0,11.1,0.85,3,SNOW,후발주,262.09,5.27,7.33,71.3,0.84,6.2,False
클라우드 SaaS,B,조정기,71.0,11.1,0.85,3,CRM,대장주,165.65,4.6,-12.01,49.7,0.7,5.0,False
클라우드 SaaS,B,조정기,71.0,11.1,0.85,3,MSFT,대장주,386.74,3.69,-9.65,48.3,0.89,4.9,False
방위산업,B,조정기,76.1,5.91,0.97,3,RTX,대장주,201.37,7.12,12.24,70.6,0.75,7.6,False
방위산업,B,조정기,76.1,5.91,0.97,3,LMT,대장주,538.0,6.03,3.65,49.2,0.79,6.8,False
방위산업,B,조정기,76.1,5.91,0.97,3,GD,후발주,376.88,9.18,10.85,62.5,0.85,6.8,False
원자력 에너지,C,소멸,38.1,0.18,0.81,1,CEG,대장주,245.87,-6.87,-7.08,44.6,1.18,3.8,False
원자력 에너지,C,소멸,38.1,0.18,0.81,1,VST,대장주,157.22,-3.84,2.43,58.9,0.87,3.3,False
원자력 에너지,C,소멸,38.1,0.18,0.81,1,UEC,후발주,10.59,-1.94,-25.11,44.5,0.52,2.6,False
사이버보안,S,과열기,84.0,11.78,1.57,7,PANW,대장주,357.53,17.53,28.03,85.7,1.14,7.7,False
사이버보안,S,과열기,84.0,11.78,1.57,7,CRWD,대장주,199.38,13.75,10.91,82.6,1.04,7.5,False
사이버보안,S,과열기,84.0,11.78,1.57,7,FTNT,후발주,162.35,7.27,8.47,69.5,0.82,6.9,False
바이오헬스케어,A,과열기,91.4,3.49,0.91,4,REGN,대장주,649.81,2.67,3.35,71.9,0.83,7.1,False
바이오헬스케어,A,과열기,91.4,3.49,0.91,4,MRNA,후발주,81.8,21.6,58.56,86.6,1.2,7.0,False
바이오헬스케어,A,과열기,91.4,3.49,0.91,4,LLY,대장주,1200.06,-0.67,6.65,64.0,0.9,5.1,False
로봇 자동화,A,조정기,57.3,5.11,0.81,4,ISRG,대장주,432.83,6.95,3.35,63.2,1.03,7.7,False
로봇 자동화,A,조정기,57.3,5.11,0.81,4,TER,대장주,379.52,-13.13,-6.72,47.0,0.88,3.5,False
에너지 원유,C,소멸,25.0,-1.32,0.83,0,XOM,대장주,136.44,-0.07,-10.26,24.3,0.88,3.2,False
에너지 원유,C,소멸,25.0,-1.32,0.83,0,CVX,대장주,168.1,-1.73,-10.75,20.5,1.11,3.2,False
에너지 원유,C,소멸,25.0,-1.32,0.83,0,SLB,후발주,45.72,-2.72,-21.19,11.4,0.71,3.0,False
금융,B,조정기,76.6,4.8,0.99,4,JPM,대장주,337.72,2.63,8.63,65.8,0.88,7.4,False
금융,B,조정기,76.6,4.8,0.99,4,BAC,후발주,59.9,3.49,11.15,73.5,0.93,6.9,False
금융,B,조정기,76.6,4.8,0.99,4,GS,대장주,1055.29,3.5,-3.42,48.0,0.79,5.0,False
금 귀금속,C,소멸,47.7,2.26,0.74,0,GOLD,대장주,44.05,5.08,7.49,48.9,0.9,7.3,False
금 귀금속,C,소멸,47.7,2.26,0.74,0,NEM,대장주,98.2,2.15,-9.35,46.9,0.84,4.2,False
금 귀금속,C,소멸,47.7,2.26,0.74,0,AG,후발주,17.31,2.49,-12.44,47.8,0.72,3.4,False
