ticker,name,sector,grade,score,nature,price,drop,bounce,roe,fwd_pe,quality,analyst_rec,analyst_upside,insider_signal,rsi,shares,amount,stop_loss,stop_pct,target_1,target_2,target_3,risk_reward,reasons,warnings
INTU,Intuit Inc.,Technology,STRONG BUY,62.82626666666667,MOSTLY_TEMPORARY,269.0799865722656,-0.43905163654019835,0.0,0.22496,9.8,83.30506666666668,buy,0.8258405678608595,SELLING,35.64892936183317,18,4843.44,255.63,-0.050000000000000044,374.38,427.04,466.73,11.7,Quality 83/100 (top tier) | Fwd PE 9.8 (cheap) | Analyst: buy (32) | Upside to target: +83%,No bounce — falling knife risk | Insider selling (2 sells)
PTC,PTC Inc.,Technology,STRONG BUY,70.211,MOSTLY_TEMPORARY,116.94000244140625,-0.2880365148164003,0.02867700675122221,0.344,13.5,92.844,buy,0.5626547802291775,SELLING,25.909597292380326,42,4911.48,111.09,-0.05,138.97,151.61,173.6,5.9,Quality 93/100 (top tier) | Analyst: buy (19) | Upside to target: +56% | RSI 26 (oversold),Insider selling (4 sells)
JKHY,"Jack Henry & Associates, Inc.",Technology,STRONG BUY,62.98455866666667,MOSTLY_TEMPORARY,124.22000122070312,-0.27382676186533517,0.0,0.24892001,17.5,83.93823466666667,buy,0.5134438898728063,NEUTRAL,32.08461331694954,40,4968.8,118.01,-0.050000000000000065,147.64,159.35,178.6,5.7,Quality 84/100 (top tier) | Analyst: buy (13) | Upside to target: +51%,No bounce — falling knife risk
AOS,A.O. Smith Corporation,Industrials,BUY,50.01890808333333,MOSTLY_TEMPORARY,57.880001068115234,-0.26280303727444837,0.037647944330859134,0.28267,13.9,80.07563233333333,hold,0.21725207325501028,SELLING,51.0204167183178,86,4977.68,54.28,-0.06227321248828427,67.15,72.83,76.24,4.1,Quality 80/100 (top tier),Insider selling (2 sells)
NEM,Newmont Corporation,Basic Materials,STRONG BUY,76.82256666666666,MOSTLY_TEMPORARY,105.66999816894531,-0.18360701694490858,0.13905359483316362,0.25832,9.3,91.29026666666667,buy,0.3386509889277941,SELLING,46.908206408654316,47,4966.49,97.22,-0.08000000000000002,111.1,120.27,134.38,1.7,Quality 91/100 (top tier) | Fwd PE 9.3 (cheap) | Strong bounce +13.9% | Analyst: buy (21) | Upside to target: +34%,Insider selling (3 sells)
PLTR,Palantir Technologies Inc.,Technology,BUY,54.876149999999996,MOSTLY_TEMPORARY,130.6300048828125,-0.18782636249016915,0.020626666638848993,0.32587,62.8,99.5046,buy,0.3990206690652991,SELLING,40.1304615813357,38,4963.94,124.1,-0.050000000000000044,144.41,152.63,173.62,3.4,Quality 100/100 (top tier) | Analyst: buy (27) | Upside to target: +40%,Fwd PE 62.8 (expensive) | Insider selling (8 sells)
CIEN,Ciena Corporation,Technology,WATCH,32.0,MIXED,436.7200012207031,-0.30347687205629487,0.014919855007812018,0.15464,45.4,61.212367666666665,buy,0.29354561274958774,SELLING,30.29820274283344,11,4803.92,414.88,-0.05000000000000005,528.65,577.82,607.33,6.5,Analyst: buy (19),Fwd PE 45.4 (expensive) | Insider selling (13 sells) | Mixed signals — score ×0.75
PNR,Pentair plc.,Industrials,WATCH,32.0,MIXED,73.38999938964844,-0.28481516956671177,0.03658186760242408,0.1761,12.6,63.164699000000006,none,0.37848031066902843,SELLING,57.3782192676214,68,4990.52,68.74,-0.06340887699613543,86.71,94.66,99.44,4.6,Upside to target: +38%,Insider selling (2 sells) | Mixed signals — score ×0.75
EQT,EQT Corporation,Energy,STRONG BUY,67.42653333333334,MOSTLY_TEMPORARY,51.130001068115234,-0.2451924279021866,0.007487705775669643,0.13402,11.0,73.70613333333333,buy,0.36824427928808917,SELLING,26.91464457533891,97,4959.61,48.57,-0.05000000000000003,59.24,63.49,66.46,4.8,Fwd PE 11.0 (cheap) | Analyst: buy (24) | Upside to target: +37% | RSI 27 (oversold),Insider selling (4 sells)
CF,"CF Industries Holdings, Inc.",Basic Materials,BUY,57.298275000000004,MOSTLY_TEMPORARY,105.8499984741211,-0.22760067907147544,0.0024623747063922175,0.273,9.2,77.1931,hold,0.19583325460557405,SELLING,31.452462199172544,47,4974.95,100.56,-0.05000000000000005,121.32,129.18,133.9,4.4,Fwd PE 9.2 (cheap),Insider selling (3 sells)
