theme,tier,lifecycle,etf_rsi,etf_5d,etf_volume_ratio,checklist_score,ticker,role,price,return_5d,return_20d,rsi,vol_ratio,total_score,entry_eligible
AI 반도체,S,조정기,41.2,2.65,0.86,5,NVDA,대장주,210.96,8.28,5.26,50.3,0.9,7.5,False
AI 반도체,S,조정기,41.2,2.65,0.86,5,AMD,대장주,557.89,7.74,23.32,53.4,0.87,6.8,False
AI 반도체,S,조정기,41.2,2.65,0.86,5,AMAT,후발주,602.5,-0.09,21.22,48.6,0.76,6.2,False
클라우드 SaaS,C,소멸,73.3,1.01,0.64,1,SNOW,후발주,261.45,0.5,8.98,71.9,0.65,4.8,False
클라우드 SaaS,C,소멸,73.3,1.01,0.64,1,MSFT,대장주,385.1,-1.38,-3.09,52.9,0.6,4.0,False
클라우드 SaaS,C,소멸,73.3,1.01,0.64,1,CRM,대장주,163.32,-1.68,-4.2,64.5,0.67,4.0,False
방위산업,B,태동기,50.1,-3.68,0.91,2,GD,후발주,375.06,0.41,10.45,73.3,0.68,5.7,False
방위산업,B,태동기,50.1,-3.68,0.91,2,RTX,대장주,195.93,-1.67,10.44,64.9,0.86,5.0,False
방위산업,B,태동기,50.1,-3.68,0.91,2,LMT,대장주,523.22,-4.16,-0.34,54.5,0.63,3.2,False
원자력 에너지,C,소멸,24.5,-0.41,1.03,1,CEG,대장주,251.38,5.07,3.75,33.6,0.74,7.0,False
원자력 에너지,C,소멸,24.5,-0.41,1.03,1,VST,대장주,158.86,5.17,14.83,44.6,0.75,6.7,False
원자력 에너지,C,소멸,24.5,-0.41,1.03,1,UEC,후발주,10.53,-2.23,11.78,29.8,0.62,2.4,False
사이버보안,A,조정기,76.7,1.88,1.35,5,FTNT,후발주,157.51,0.81,13.41,62.5,0.75,6.0,False
사이버보안,A,조정기,76.7,1.88,1.35,5,CRWD,대장주,187.18,-3.51,15.59,62.6,0.76,3.7,False
사이버보안,A,조정기,76.7,1.88,1.35,5,PANW,대장주,325.91,-6.36,23.82,62.0,1.04,3.6,False
바이오헬스케어,B,조정기,76.9,-0.89,0.92,3,REGN,대장주,664.52,1.57,10.45,72.3,0.71,7.2,False
바이오헬스케어,B,조정기,76.9,-0.89,0.92,3,LLY,대장주,1188.58,-2.09,4.59,65.5,0.77,4.0,False
바이오헬스케어,B,조정기,76.9,-0.89,0.92,3,MRNA,후발주,68.27,-14.41,48.45,54.4,0.9,2.1,False
로봇 자동화,C,소멸,43.5,-0.52,1.01,1,ISRG,대장주,406.78,-4.51,-1.27,50.0,0.9,3.8,False
로봇 자동화,C,소멸,43.5,-0.52,1.01,1,TER,대장주,359.6,-2.57,3.46,39.5,0.65,3.7,False
에너지 원유,C,소멸,60.9,3.49,0.91,1,CVX,대장주,176.4,4.26,-7.06,54.5,0.84,5.1,False
에너지 원유,C,소멸,60.9,3.49,0.91,1,SLB,후발주,47.76,5.83,-13.96,47.9,0.67,4.6,False
에너지 원유,C,소멸,60.9,3.49,0.91,1,XOM,대장주,138.88,1.31,-7.79,52.6,0.78,3.5,False
금융,B,조정기,70.2,0.16,0.85,2,JPM,대장주,336.47,1.05,9.33,63.4,1.03,6.9,False
금융,B,조정기,70.2,0.16,0.85,2,BAC,후발주,59.67,1.6,9.41,68.4,0.83,6.3,False
금융,B,조정기,70.2,0.16,0.85,2,GS,대장주,1055.18,3.35,5.38,39.8,0.66,5.6,False
금 귀금속,C,소멸,35.2,-3.7,0.67,1,NEM,대장주,95.29,-1.8,2.72,34.1,0.71,3.8,False
금 귀금속,C,소멸,35.2,-3.7,0.67,1,GOLD,대장주,39.45,-10.32,-3.21,38.2,0.92,3.5,False
금 귀금속,C,소멸,35.2,-3.7,0.67,1,AG,후발주,16.95,-4.88,7.89,43.0,0.94,3.1,False
