theme,tier,lifecycle,etf_rsi,etf_5d,etf_volume_ratio,checklist_score,ticker,role,price,return_5d,return_20d,rsi,vol_ratio,total_score,entry_eligible
AI 반도체,C,소멸,42.7,0.59,0.87,1,NVDA,대장주,227.98,5.13,16.89,53.5,1.33,7.7,False
AI 반도체,C,소멸,42.7,0.59,0.87,1,AMD,대장주,476.67,1.54,-1.8,47.9,0.7,4.4,False
AI 반도체,C,소멸,42.7,0.59,0.87,1,AMAT,후발주,482.36,-2.79,-3.77,33.5,0.86,3.0,False
클라우드 SaaS,S,조정기,67.7,7.4,0.98,5,CRM,대장주,252.05,22.69,39.48,80.6,1.42,8.5,False
클라우드 SaaS,S,조정기,67.7,7.4,0.98,5,MSFT,대장주,505.06,4.97,12.17,54.2,0.72,7.3,False
클라우드 SaaS,S,조정기,67.7,7.4,0.98,5,SNOW,후발주,329.11,2.43,10.4,49.1,0.84,5.7,False
방위산업,B,조정기,25.6,-1.39,1.12,3,RTX,대장주,212.08,-0.1,-0.74,34.2,0.96,3.8,False
방위산업,B,조정기,25.6,-1.39,1.12,3,LMT,대장주,565.89,-0.98,-1.43,42.0,0.99,3.4,False
방위산업,B,조정기,25.6,-1.39,1.12,3,GD,후발주,380.06,-1.56,-0.56,36.9,0.95,3.0,False
원자력 에너지,B,태동기,62.8,9.14,1.15,2,CEG,대장주,282.41,3.48,7.32,64.0,0.84,7.3,False
원자력 에너지,B,태동기,62.8,9.14,1.15,2,UEC,후발주,13.62,22.15,39.84,73.0,1.35,6.9,False
원자력 에너지,B,태동기,62.8,9.14,1.15,2,VST,대장주,139.81,0.63,-5.93,48.7,0.89,3.5,False
사이버보안,A,태동기,54.5,8.03,1.08,5,CRWD,대장주,227.96,19.76,23.08,56.5,1.39,7.4,False
사이버보안,A,태동기,54.5,8.03,1.08,5,PANW,대장주,382.85,9.52,17.55,56.3,0.99,7.0,False
사이버보안,A,태동기,54.5,8.03,1.08,5,FTNT,후발주,172.78,14.58,12.01,61.6,0.91,6.8,False
바이오헬스케어,A,조정기,66.4,2.97,1.01,5,MRNA,후발주,142.77,7.09,146.5,69.5,1.46,6.9,False
바이오헬스케어,A,조정기,66.4,2.97,1.01,5,REGN,대장주,807.71,-2.29,9.52,58.5,0.9,4.2,False
바이오헬스케어,A,조정기,66.4,2.97,1.01,5,LLY,대장주,1176.1,-5.49,1.98,48.8,0.84,3.8,False
로봇 자동화,B,조정기,39.0,1.54,1.31,2,ISRG,대장주,367.07,-1.98,3.99,42.7,0.67,4.0,False
로봇 자동화,B,조정기,39.0,1.54,1.31,2,TER,대장주,372.06,-2.89,1.8,48.1,0.81,3.9,False
에너지 원유,C,소멸,77.7,-2.29,1.01,1,SLB,후발주,55.01,2.73,12.47,71.5,1.14,7.0,False
에너지 원유,C,소멸,77.7,-2.29,1.01,1,CVX,대장주,199.77,-2.92,4.79,76.9,0.9,4.1,False
에너지 원유,C,소멸,77.7,-2.29,1.01,1,XOM,대장주,156.44,-5.84,0.31,57.9,1.01,3.9,False
금융,B,태동기,53.3,1.63,0.92,2,GS,대장주,1040.87,3.88,1.56,50.4,1.12,6.4,False
금융,B,태동기,53.3,1.63,0.92,2,JPM,대장주,354.22,0.76,0.96,45.1,0.98,4.5,False
금융,B,태동기,53.3,1.63,0.92,2,BAC,후발주,61.17,-1.12,-0.91,37.9,1.13,3.0,False
금 귀금속,B,조정기,71.6,3.85,0.96,4,NEM,대장주,132.29,3.64,38.15,72.7,1.06,7.8,False
금 귀금속,B,조정기,71.6,3.85,0.96,4,AG,후발주,21.74,2.6,38.67,72.3,0.89,6.8,False
금 귀금속,B,조정기,71.6,3.85,0.96,4,GOLD,대장주,45.98,0.7,9.27,58.2,1.1,6.5,False
