theme,tier,lifecycle,etf_rsi,etf_5d,etf_volume_ratio,checklist_score,ticker,role,price,return_5d,return_20d,rsi,vol_ratio,total_score,entry_eligible
AI 반도체,S,태동기,57.1,-5.15,1.2,4,AMAT,후발주,453.01,0.66,10.46,54.5,1.07,5.6,False
AI 반도체,S,태동기,57.1,-5.15,1.2,4,NVDA,대장주,205.1,-2.75,-2.91,34.3,1.07,3.7,False
AI 반도체,S,태동기,57.1,-5.15,1.2,4,AMD,대장주,466.38,-9.63,14.18,58.5,0.95,3.1,False
클라우드 SaaS,C,소멸,63.1,-2.28,1.26,1,SNOW,후발주,238.26,-6.77,55.0,72.1,1.08,5.9,False
클라우드 SaaS,C,소멸,63.1,-2.28,1.26,1,CRM,대장주,185.66,-2.85,-0.36,58.0,1.13,4.2,False
클라우드 SaaS,C,소멸,63.1,-2.28,1.26,1,MSFT,대장주,416.67,-7.46,-0.76,48.1,1.03,3.7,False
방위산업,B,태동기,64.5,-2.54,1.14,2,RTX,대장주,180.99,0.74,2.81,66.2,0.88,5.5,False
방위산업,B,태동기,64.5,-2.54,1.14,2,GD,후발주,346.44,-0.11,-0.38,62.3,1.0,3.8,False
방위산업,B,태동기,64.5,-2.54,1.14,2,LMT,대장주,523.76,-0.61,2.88,57.9,0.87,3.6,False
원자력 에너지,B,소멸,40.7,-8.39,1.02,2,CEG,대장주,254.83,-11.44,-18.01,44.4,1.44,3.8,False
원자력 에너지,B,소멸,40.7,-8.39,1.02,2,VST,대장주,148.76,-7.16,-3.37,57.9,0.71,3.1,False
원자력 에너지,B,소멸,40.7,-8.39,1.02,2,UEC,후발주,12.65,-8.13,-18.86,44.3,1.12,2.3,False
사이버보안,B,태동기,63.4,-2.06,1.23,3,FTNT,후발주,144.68,4.86,34.0,72.0,1.09,7.1,False
사이버보안,B,태동기,63.4,-2.06,1.23,3,PANW,대장주,272.05,-3.42,38.43,61.7,1.3,6.8,False
사이버보안,B,태동기,63.4,-2.06,1.23,3,CRWD,대장주,671.02,-8.21,32.69,60.7,1.37,4.3,False
바이오헬스케어,A,소멸,47.1,-5.87,1.1,4,LLY,대장주,1131.42,2.39,16.25,71.7,1.0,7.6,False
바이오헬스케어,A,소멸,47.1,-5.87,1.1,4,REGN,대장주,635.45,3.36,-10.25,32.2,0.84,4.0,False
바이오헬스케어,A,소멸,47.1,-5.87,1.1,4,MRNA,후발주,47.44,0.53,-2.27,46.0,0.82,2.7,False
로봇 자동화,A,태동기,46.1,-5.93,1.05,4,ISRG,대장주,422.06,-0.61,-6.93,50.4,1.15,4.2,False
로봇 자동화,A,태동기,46.1,-5.93,1.05,4,TER,대장주,357.93,-4.38,1.12,54.8,1.01,3.9,False
에너지 원유,C,소멸,42.0,2.45,0.96,0,CVX,대장주,187.31,2.66,3.58,47.0,0.72,5.4,False
에너지 원유,C,소멸,42.0,2.45,0.96,0,XOM,대장주,149.92,3.21,2.97,37.4,0.83,5.3,False
에너지 원유,C,소멸,42.0,2.45,0.96,0,SLB,후발주,54.87,1.11,4.07,49.2,0.89,4.5,False
금융,B,태동기,61.3,1.4,1.15,2,JPM,대장주,312.37,4.36,1.99,64.5,0.96,7.5,False
금융,B,태동기,61.3,1.4,1.15,2,GS,대장주,1038.68,1.73,12.68,66.1,1.13,7.0,False
금융,B,태동기,61.3,1.4,1.15,2,BAC,후발주,53.83,4.86,2.58,78.3,1.08,7.0,False
금 귀금속,C,소멸,37.6,-11.9,1.14,1,GOLD,대장주,39.62,-6.36,-8.48,53.9,0.93,3.7,False
금 귀금속,C,소멸,37.6,-11.9,1.14,1,NEM,대장주,99.71,-9.2,-11.94,36.8,1.0,3.5,False
금 귀금속,C,소멸,37.6,-11.9,1.14,1,AG,후발주,16.99,-19.4,-20.42,33.8,0.83,2.7,False
