ticker,name,sector,grade,score,nature,price,drop,bounce,roe,fwd_pe,quality,analyst_rec,analyst_upside,insider_signal,rsi,shares,amount,stop_loss,stop_pct,target_1,target_2,target_3,risk_reward,reasons,warnings
QCOM,QUALCOMM Incorporated,Technology,WATCH,30.0,STRUCTURAL,162.67999267578125,-0.3495305457919954,0.10209329993304575,0.33754003,15.9,86.071,hold,0.1972378903368576,SELLING,40.86611997039937,30,4880.4,149.67,-0.07999999999999997,198.85,224.47,239.85,4.7,Quality 86/100 (top tier) | Strong bounce +10.2%,Insider selling (11 sells) | Structural decline — score ×0.5
MU,"Micron Technology, Inc.",Technology,STRONG BUY,78.6835,MOSTLY_TEMPORARY,868.52001953125,-0.2842104415965666,0.17526389652401894,0.66638,5.6,98.734,strong_buy,0.7293518859669322,SELLING,42.14643716350824,5,4342.6,799.04,-0.0799999999999999,976.19,1094.78,1426.88,3.3,Quality 99/100 (top tier) | Fwd PE 5.6 (cheap) | Strong bounce +17.5% | Analyst: strong_buy (43) | Upside to target: +73%,Insider selling (12 sells)
KLAC,KLA Corporation,Technology,BUY,46.156,MOSTLY_TEMPORARY,200.47000122070312,-0.3355539859522641,0.1779187869141832,0.87496,30.6,80.624,buy,0.15617194592707143,SELLING,42.82108018199622,24,4811.28,184.43,-0.08000000000000002,235.95,268.83,288.56,4.3,Quality 81/100 (top tier) | Strong bounce +17.8% | Analyst: buy (27),Fwd PE 30.6 (expensive) | Insider selling (9 sells) | 고PER(31x) × 금리 페널티 -8점 | 매크로 환경 페널티 -8점 적용
LRCX,Lam Research Corporation,Technology,STRONG BUY,61.156175,MOSTLY_TEMPORARY,311.4100036621094,-0.28135597971091225,0.23404000844116069,0.65066004,26.9,88.62469999999999,strong_buy,0.18472592402299207,SELLING,47.68534737000629,16,4982.56,286.5,-0.07999999999999988,342.84,388.08,415.23,3.1,Quality 89/100 (top tier) | Strong bounce +23.4% | Analyst: strong_buy (31),Insider selling (10 sells)
MRVL,"Marvell Technology, Inc.",Technology,WATCH,40.83204129166667,MOSTLY_TEMPORARY,212.30999755859375,-0.32888040878156083,0.2993268389783073,0.16028,34.0,71.32816516666666,strong_buy,0.2100899627902595,SELLING,50.49653617986449,23,4883.13,195.33,-0.07999999999999999,239.88,278.11,301.06,3.9,Strong bounce +29.9% | Analyst: strong_buy (40),Fwd PE 34.0 (expensive) | Insider selling (7 sells) | 고PER(34x) × 금리 페널티 -8점 | 매크로 환경 페널티 -8점 적용
AMAT,"Applied Materials, Inc.",Technology,BUY,48.09955,MOSTLY_TEMPORARY,525.6099853515625,-0.27301523464514177,0.20428450143389612,0.39692003,30.5,88.3982,strong_buy,0.2049672380662469,SELLING,45.22934928682613,9,4730.49,483.56,-0.07999999999999995,579.73,651.36,694.35,3.0,Quality 88/100 (top tier) | Strong bounce +20.4% | Analyst: strong_buy (35),Fwd PE 30.5 (expensive) | Insider selling (10 sells) | 고PER(30x) × 금리 페널티 -8점 | 매크로 환경 페널티 -8점 적용
NFLX,"Netflix, Inc.",Communication Services,STRONG BUY,62.87795,MOSTLY_TEMPORARY,74.79000091552734,-0.3061508462724792,0.10636098526183778,0.49541,19.6,83.5118,buy,0.25734282658109364,SELLING,72.16716601782535,66,4936.14,68.81,-0.08,87.69,97.74,103.77,3.8,Quality 84/100 (top tier) | Strong bounce +10.6% | Analyst: buy (45),Insider selling (7 sells)
ROL,"Rollins, Inc.",Consumer Cyclical,BUY,49.144999999999996,TEMPORARY,37.0099983215332,-0.34519747880131496,0.009783670769242298,0.37008998,28.4,80.58,hold,0.23178168062685764,SELLING,17.155420575100678,135,4996.35,35.16,-0.050000000000000114,46.59,51.55,54.53,7.9,Quality 81/100 (top tier) | RSI 17 (oversold),Insider selling (1 sells)
GLW,Corning Incorporated,Technology,WATCH,37.08130833333333,MOSTLY_TEMPORARY,159.19000244140625,-0.37741014149395175,0.2832728619521827,0.16813,36.8,56.32523333333334,strong_buy,0.20233683020290225,SELLING,52.80726997754184,31,4934.89,146.45,-0.08,189.87,222.78,242.53,5.0,Strong bounce +28.3% | Analyst: strong_buy (15),Fwd PE 36.8 (expensive) | Insider selling (11 sells) | 고PER(37x) × 금리 페널티 -8점 | 매크로 환경 페널티 -8점 적용
LULU,lululemon athletica inc.,Consumer Cyclical,STRONG BUY,81.24867499999999,MOSTLY_TEMPORARY,125.61000061035156,-0.2491032907282788,0.19140662284703705,0.32027,11.2,88.9947,hold,0.018414775893639036,BUYING,71.29434981740165,39,4898.79,115.56,-0.0799999999999999,136.35,151.82,161.09,2.6,Quality 89/100 (top tier) | Fwd PE 11.2 (cheap) | Strong bounce +19.1% | Insider BUYING (2 buys) | Above 50-day MA,
