ticker,name,sector,grade,score,nature,price,drop,bounce,roe,fwd_pe,quality,analyst_rec,analyst_upside,insider_signal,rsi,shares,amount,stop_loss,stop_pct,target_1,target_2,target_3,risk_reward,reasons,warnings
SNDK,Sandisk Corporation,Technology,STRONG BUY,81.4296,MOSTLY_TEMPORARY,1288.030029296875,-0.44838114377007493,0.26788334438213296,0.39297,6.0,97.7184,buy,0.7218331094772638,SELLING,35.809951855470985,3,3864.09,1184.99,-0.07999999999999995,1675.45,2005.22,2203.09,7.0,Quality 98/100 (top tier) | Fwd PE 6.0 (cheap) | Strong bounce +26.8% | Analyst: buy (22) | Upside to target: +72%,Insider selling (7 sells)
LRCX,Lam Research Corporation,Technology,STRONG BUY,64.311325,MOSTLY_TEMPORARY,294.6099853515625,-0.32012555216408745,0.16746573499471823,0.65066004,25.6,89.2453,strong_buy,0.24954696038830992,SELLING,35.44410271452419,16,4713.76,271.04,-0.08000000000000004,342.84,388.08,415.23,4.0,Quality 89/100 (top tier) | Strong bounce +16.7% | Analyst: strong_buy (31),Insider selling (10 sells)
MRVL,"Marvell Technology, Inc.",Technology,BUY,49.83204129166667,MOSTLY_TEMPORARY,193.77499389648438,-0.3874702266139223,0.18589351979561813,0.16028,31.0,71.32816516666666,strong_buy,0.32583769836150167,SELLING,39.367185099807266,25,4844.37,178.27,-0.07999999999999993,239.88,278.11,301.06,5.4,Strong bounce +18.6% | Analyst: strong_buy (40) | Upside to target: +33%,Fwd PE 31.0 (expensive) | Insider selling (6 sells) | 고PER(31x) × 금리 페널티 -8점 | 매크로 환경 페널티 -8점 적용
AMAT,"Applied Materials, Inc.",Technology,BUY,51.09955,MOSTLY_TEMPORARY,518.2100219726562,-0.2832503153905169,0.187329608154168,0.39692003,30.7,88.3982,strong_buy,0.21120235039848692,SELLING,38.484857939559454,9,4663.89,476.75,-0.07999999999999992,579.73,651.36,694.35,3.2,Quality 88/100 (top tier) | Strong bounce +18.7% | Analyst: strong_buy (35),Fwd PE 30.7 (expensive) | Insider selling (10 sells) | 고PER(31x) × 금리 페널티 -8점 | 매크로 환경 페널티 -8점 적용
NFLX,"Netflix, Inc.",Communication Services,STRONG BUY,62.87795,MOSTLY_TEMPORARY,73.33000183105469,-0.3196956934018231,0.08476336518154179,0.49541,19.2,83.5118,buy,0.2863161052775126,SELLING,49.42595588615295,68,4986.44,67.46,-0.07999999999999989,87.69,97.74,103.77,4.2,Quality 84/100 (top tier) | Bounce +8.5% | Analyst: buy (45),Insider selling (7 sells)
GLW,Corning Incorporated,Technology,BUY,46.08130833333333,MOSTLY_TEMPORARY,146.63999938964844,-0.4264930267531584,0.1821039563252999,0.16813,34.0,56.32523333333334,buy,0.3188761593016914,SELLING,31.15808612128832,34,4985.76,134.91,-0.07999999999999999,189.87,222.78,242.53,6.5,Strong bounce +18.2% | Analyst: buy (15) | Upside to target: +32%,Fwd PE 34.0 (expensive) | Insider selling (11 sells) | 고PER(34x) × 금리 페널티 -8점 | 매크로 환경 페널티 -8점 적용
CIEN,Ciena Corporation,Technology,BUY,47.303091916666666,MOSTLY_TEMPORARY,390.760009765625,-0.3767782938347289,0.1827950950176822,0.15464,40.5,61.212367666666665,buy,0.4477088238304841,SELLING,39.45481558482988,12,4689.12,359.5,-0.07999999999999999,478.68,552.84,597.34,5.2,Strong bounce +18.3% | Analyst: buy (19) | Upside to target: +45%,Fwd PE 40.5 (expensive) | Insider selling (14 sells) | 고PER(41x) × 금리 페널티 -8점 | 매크로 환경 페널티 -8점 적용
LULU,lululemon athletica inc.,Consumer Cyclical,STRONG BUY,60.0,MIXED,123.66999816894531,-0.2607006272632092,0.17300576506660686,0.32027,11.0,88.9947,hold,0.03283553003962161,BUYING,61.69428750872884,40,4946.8,113.78,-0.08,136.35,151.82,161.09,2.8,Quality 89/100 (top tier) | Fwd PE 11.0 (cheap) | Strong bounce +17.3% | Insider BUYING (2 buys) | Above 50-day MA,Mixed signals — score ×0.75
VRT,"Vertiv Holdings, LLC",Industrials,STRONG BUY,66.74657525,TEMPORARY,263.04998779296875,-0.30068117614033724,0.1793848444727491,0.43943,29.0,74.986301,strong_buy,0.29004432617373116,NEUTRAL,37.187839818357084,19,4997.95,242.01,-0.07999999999999997,299.6,337.87,360.84,3.6,Strong bounce +17.9% | Analyst: strong_buy (26),
ROL,"Rollins, Inc.",Consumer Cyclical,BUY,54.144999999999996,TEMPORARY,38.189998626708984,-0.3275965595073558,0.0057939794293687275,0.37008998,29.1,80.58,buy,0.19372191673212888,SELLING,22.171510394532447,130,4964.7,36.28,-0.050000000000000114,47.38,52.09,54.91,7.3,Quality 81/100 (top tier) | Analyst: buy (17) | RSI 22 (oversold),Insider selling (1 sells)
