theme,tier,lifecycle,etf_rsi,etf_5d,etf_volume_ratio,checklist_score,ticker,role,price,return_5d,return_20d,rsi,vol_ratio,total_score,entry_eligible
AI 반도체,S,태동기,48.6,3.4,1.07,4,AMD,대장주,505.74,7.44,7.71,57.1,1.01,7.6,False
AI 반도체,S,태동기,48.6,3.4,1.07,4,NVDA,대장주,225.73,2.24,3.76,54.2,1.02,6.3,False
AI 반도체,S,태동기,48.6,3.4,1.07,4,AMAT,후발주,472.79,3.14,-9.35,33.1,0.86,3.3,False
클라우드 SaaS,S,태동기,47.0,-8.41,1.21,4,CRM,대장주,249.12,-3.27,26.13,78.1,0.86,6.8,False
클라우드 SaaS,S,태동기,47.0,-8.41,1.21,4,SNOW,후발주,335.5,1.23,0.24,53.4,1.95,5.5,False
클라우드 SaaS,S,태동기,47.0,-8.41,1.21,4,MSFT,대장주,493.95,-2.63,-2.21,57.9,0.87,3.9,False
방위산업,B,소멸,14.0,-2.11,1.14,3,RTX,대장주,198.81,-4.29,-11.0,12.0,0.88,3.6,False
방위산업,B,소멸,14.0,-2.11,1.14,3,LMT,대장주,536.15,-3.88,-10.56,19.8,1.06,3.1,False
방위산업,B,소멸,14.0,-2.11,1.14,3,GD,후발주,356.58,-3.98,-9.95,14.1,1.45,2.9,False
원자력 에너지,A,태동기,62.2,4.52,0.83,4,CEG,대장주,299.05,8.84,10.75,76.8,1.18,8.0,False
원자력 에너지,A,태동기,62.2,4.52,0.83,4,VST,대장주,151.72,10.45,6.19,68.0,1.23,7.4,False
원자력 에너지,A,태동기,62.2,4.52,0.83,4,UEC,후발주,11.89,-2.86,4.48,56.7,0.97,2.7,False
사이버보안,A,소멸,43.1,-5.8,0.99,4,CRWD,대장주,210.02,-9.08,-6.72,49.0,1.05,3.0,False
사이버보안,A,소멸,43.1,-5.8,0.99,4,PANW,대장주,336.98,-11.82,-12.48,39.6,1.33,3.0,False
사이버보안,A,소멸,43.1,-5.8,0.99,4,FTNT,후발주,157.47,-7.87,-4.1,49.6,0.96,2.9,False
바이오헬스케어,B,태동기,52.4,-0.35,0.86,3,MRNA,후발주,140.33,-0.01,134.63,66.0,0.48,5.5,False
바이오헬스케어,B,태동기,52.4,-0.35,0.86,3,REGN,대장주,810.31,1.41,0.4,50.0,0.93,5.0,False
바이오헬스케어,B,태동기,52.4,-0.35,0.86,3,LLY,대장주,1123.91,-2.84,-8.64,28.8,0.97,3.7,False
로봇 자동화,C,소멸,39.7,-0.98,0.61,1,TER,대장주,372.06,6.4,1.95,38.5,0.95,7.2,False
로봇 자동화,C,소멸,39.7,-0.98,0.61,1,ISRG,대장주,350.16,-7.08,-10.99,26.6,0.96,3.5,False
에너지 원유,B,태동기,57.8,1.27,1.09,3,CVX,대장주,209.8,1.78,8.58,61.8,0.96,7.0,False
에너지 원유,B,태동기,57.8,1.27,1.09,3,XOM,대장주,160.66,-0.18,1.2,40.7,0.95,4.0,False
에너지 원유,B,태동기,57.8,1.27,1.09,3,SLB,후발주,57.1,-4.5,7.89,65.2,1.02,3.4,False
금융,B,태동기,45.8,-0.71,1.13,2,GS,대장주,1036.53,1.53,0.69,50.3,0.94,4.5,False
금융,B,태동기,45.8,-0.71,1.13,2,JPM,대장주,353.51,-0.71,-1.75,38.1,0.96,3.8,False
금융,B,태동기,45.8,-0.71,1.13,2,BAC,후발주,62.39,1.24,-1.8,39.9,0.92,3.3,False
금 귀금속,B,태동기,61.9,-0.1,0.93,2,GOLD,대장주,47.47,5.56,9.2,64.4,1.9,8.5,False
금 귀금속,B,태동기,61.9,-0.1,0.93,2,NEM,대장주,127.09,1.03,8.61,62.8,0.91,6.5,False
금 귀금속,B,태동기,61.9,-0.1,0.93,2,AG,후발주,20.75,0.78,10.17,63.3,0.96,5.9,False
