ticker,name,sector,grade,score,nature,price,drop,bounce,roe,fwd_pe,quality,analyst_rec,analyst_upside,insider_signal,rsi,shares,amount,stop_loss,stop_pct,target_1,target_2,target_3,risk_reward,reasons,warnings
MNST,Monster Beverage Corporation,Consumer Defensive,BUY,47.961650500000005,MOSTLY_TEMPORARY,47.43000030517578,-0.5254152576893973,0.04195957443331592,0.25704,36.3,91.846602,buy,0.056935062196921724,SELLING,7.6962207013262685,105,4980.15,44.15,-0.06906177187579671,72.73,86.34,94.5,11.9,Quality 92/100 (top tier) | Analyst: buy (23) | RSI 8 (oversold),Fwd PE 36.3 (expensive) | Insider selling (4 sells) | 고PER(36x) × 금리 페널티 -8점 | 매크로 환경 페널티 -8점 적용
APP,Applovin Corporation,Communication Services,STRONG BUY,66.4435,MOSTLY_TEMPORARY,310.7900085449219,-0.49357992119433575,0.02314326624074406,2.03686,14.8,77.774,buy,0.7586814247562662,SELLING,25.93090393194845,16,4972.64,295.25,-0.04999999999999996,458.73,536.22,582.71,14.5,Analyst: buy (31) | Upside to target: +76% | RSI 26 (oversold),Insider selling (7 sells)
SNDK,Sandisk Corporation,Technology,STRONG BUY,68.5,MOSTLY_TEMPORARY,1568.8699951171875,-0.3281070684722966,0.5443305598983726,0.9164,5.9,70.0,buy,0.3434482143198609,SELLING,61.23333013432147,3,4706.61,1443.36,-0.0799999999999999,1675.45,2005.22,2203.09,3.5,Fwd PE 5.9 (cheap) | Strong bounce +54.4% | Analyst: buy (23) | Upside to target: +34%,Insider selling (8 sells)
QCOM,QUALCOMM Incorporated,Technology,PASS,27.0,STRUCTURAL,161.91000366210938,-0.35260931611421625,0.09687692563260504,0.33754003,15.9,86.071,hold,0.19263788524488912,SELLING,60.078200184597065,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Quality 86/100 (top tier) | Bounce +9.7%,Insider selling (12 sells) | Structural decline — score ×0.5
ROL,"Rollins, Inc.",Consumer Cyclical,BUY,49.144999999999996,TEMPORARY,36.2599983215332,-0.3584669171469331,0.006662905627970436,0.37008998,27.8,80.58,hold,0.25725979040264757,SELLING,29.97047334936873,137,4967.62,34.45,-0.05000000000000008,46.27,51.4,54.47,8.3,Quality 81/100 (top tier) | RSI 30 (oversold),Insider selling (1 sells)
LULU,lululemon athletica inc.,Consumer Cyclical,STRONG BUY,63.0,MIXED,119.44999694824219,-0.26919547764771734,0.13297919569841957,0.32027,10.6,88.9947,hold,0.07093411469233986,BUYING,49.94670265174973,41,4897.45,109.89,-0.08,134.44,148.94,157.65,3.1,Quality 89/100 (top tier) | Fwd PE 10.6 (cheap) | Strong bounce +13.3% | Insider BUYING (2 buys) | Above 50-day MA,Mixed signals — score ×0.75
MRVL,"Marvell Technology, Inc.",Technology,WATCH,43.83204129166667,MOSTLY_TEMPORARY,237.27000427246094,-0.2499809236171986,0.45208086374087625,0.16028,38.0,71.32816516666666,strong_buy,0.08279259914864914,SELLING,71.18630889914368,21,4982.67,218.29,-0.08000000000000002,239.88,278.11,301.06,2.2,Strong bounce +45.2% | Analyst: strong_buy (40) | Above 50-day MA,Fwd PE 38.0 (expensive) | Insider selling (7 sells) | 고PER(38x) × 금리 페널티 -8점 | 매크로 환경 페널티 -8점 적용
FSLR,"First Solar, Inc.",Technology,BUY,50.0,MIXED,222.39999389648438,-0.30117833811002553,0.11624165712098886,0.18509,9.6,76.31066566666667,buy,0.22993705035971224,SELLING,58.08584157385805,22,4892.8,204.61,-0.0799999999999999,258.75,288.5,306.35,3.7,Fwd PE 9.6 (cheap) | Strong bounce +11.6% | Analyst: buy (30),Insider selling (4 sells) | Mixed signals — score ×0.75
NXPI,NXP Semiconductors N.V.,Technology,BUY,49.153499999999994,MOSTLY_TEMPORARY,226.02000427246094,-0.318283353793727,0.008252692682458655,0.27921,12.5,76.61399999999999,none,0.3764421290151314,SELLING,37.17503278428055,22,4972.44,214.72,-0.0500000000000001,277.86,304.7,320.81,7.0,Upside to target: +38%,Insider selling (4 sells)
CDNS,"Cadence Design Systems, Inc.",Technology,WATCH,34.80995,MOSTLY_TEMPORARY,314.9800109863281,-0.24354571458139052,0.0,0.23229,33.0,83.2398,strong_buy,0.28158200520667975,SELLING,31.758669906069386,15,4724.7,299.23,-0.05,365.69,391.04,406.25,4.8,Quality 83/100 (top tier) | Analyst: strong_buy (26),Fwd PE 33.0 (expensive) | No bounce — falling knife risk | Insider selling (8 sells) | 고PER(33x) × 금리 페널티 -8점 | 매크로 환경 페널티 -8점 적용
