theme,tier,lifecycle,etf_rsi,etf_5d,etf_volume_ratio,checklist_score,ticker,role,price,return_5d,return_20d,rsi,vol_ratio,total_score,entry_eligible
AI 반도체,B,소멸,44.9,-1.48,0.72,2,NVDA,대장주,217.5,2.62,2.69,54.3,0.94,6.3,False
AI 반도체,B,소멸,44.9,-1.48,0.72,2,AMD,대장주,474.32,-8.53,-13.47,36.9,0.93,3.5,False
AI 반도체,B,소멸,44.9,-1.48,0.72,2,AMAT,후발주,525.61,-3.84,-11.77,45.2,0.75,3.1,False
클라우드 SaaS,S,과열기,82.7,5.4,0.83,5,MSFT,대장주,503.81,2.23,30.88,87.4,0.77,7.5,False
클라우드 SaaS,S,과열기,82.7,5.4,0.83,5,CRM,대장주,197.47,3.39,17.85,73.1,0.82,7.5,False
클라우드 SaaS,S,과열기,82.7,5.4,0.83,5,SNOW,후발주,334.14,5.48,21.09,87.9,0.99,6.5,False
방위산업,B,조정기,74.3,0.5,0.92,3,RTX,대장주,223.86,2.72,15.76,87.8,0.79,7.5,False
방위산업,B,조정기,74.3,0.5,0.92,3,LMT,대장주,597.77,1.43,16.07,78.4,0.7,6.6,False
방위산업,B,조정기,74.3,0.5,0.92,3,GD,후발주,391.89,1.59,6.06,66.5,0.65,5.4,False
원자력 에너지,B,태동기,61.7,4.65,0.87,2,CEG,대장주,278.36,4.16,8.55,52.6,1.09,7.4,False
원자력 에너지,B,태동기,61.7,4.65,0.87,2,UEC,후발주,11.46,9.14,10.3,69.7,0.86,6.4,False
원자력 에너지,B,태동기,61.7,4.65,0.87,2,VST,대장주,144.92,1.18,-8.53,32.9,1.09,3.3,False
사이버보안,A,조정기,75.6,4.15,1.07,5,CRWD,대장주,221.9,5.06,5.3,74.2,0.86,7.0,False
사이버보안,A,조정기,75.6,4.15,1.07,5,PANW,대장주,383.8,4.77,8.76,72.0,0.89,7.0,False
사이버보안,A,조정기,75.6,4.15,1.07,5,FTNT,후발주,161.89,-3.8,-2.96,58.4,0.85,3.1,False
바이오헬스케어,A,태동기,62.6,4.08,1.0,5,LLY,대장주,1215.02,8.9,5.42,58.4,1.27,7.9,False
바이오헬스케어,A,태동기,62.6,4.08,1.0,5,REGN,대장주,797.0,4.78,21.47,91.7,0.95,7.9,False
바이오헬스케어,A,태동기,62.6,4.08,1.0,5,MRNA,후발주,60.57,6.28,-10.19,54.9,1.19,5.9,False
로봇 자동화,B,태동기,62.8,-0.4,1.03,2,ISRG,대장주,401.23,8.95,5.73,76.8,0.73,7.6,False
로봇 자동화,B,태동기,62.8,-0.4,1.03,2,TER,대장주,379.56,-5.95,7.45,52.5,0.73,3.8,False
에너지 원유,B,태동기,57.4,4.12,0.93,2,XOM,대장주,159.8,3.79,10.14,59.8,1.01,7.4,False
에너지 원유,B,태동기,57.4,4.12,0.93,2,CVX,대장주,196.66,3.29,8.2,54.2,1.08,7.4,False
에너지 원유,B,태동기,57.4,4.12,0.93,2,SLB,후발주,53.68,5.65,12.92,66.4,0.75,6.7,False
금융,B,조정기,67.6,-0.14,0.8,2,JPM,대장주,362.04,1.26,5.58,65.4,0.68,5.9,False
금융,B,조정기,67.6,-0.14,0.8,2,BAC,후발주,64.0,1.75,5.58,67.9,0.76,5.7,False
금융,B,조정기,67.6,-0.14,0.8,2,GS,대장주,1034.41,-1.76,-9.26,37.2,0.83,3.2,False
금 귀금속,B,조정기,74.7,15.66,1.46,4,NEM,대장주,117.21,19.93,23.7,80.6,1.15,8.2,False
금 귀금속,B,조정기,74.7,15.66,1.46,4,GOLD,대장주,43.44,1.76,11.19,64.6,1.09,7.5,False
금 귀금속,B,조정기,74.7,15.66,1.46,4,AG,후발주,18.96,14.98,11.99,60.6,0.96,6.9,False
