theme,tier,lifecycle,etf_rsi,etf_5d,etf_volume_ratio,checklist_score,ticker,role,price,return_5d,return_20d,rsi,vol_ratio,total_score,entry_eligible
AI 반도체,B,소멸,55.2,-4.93,0.7,2,NVDA,대장주,217.56,-2.91,2.59,71.9,0.79,4.1,False
AI 반도체,B,소멸,55.2,-4.93,0.7,2,AMD,대장주,466.42,-3.42,-15.55,45.4,0.77,3.9,False
AI 반도체,B,소멸,55.2,-4.93,0.7,2,AMAT,후발주,496.17,-9.48,-10.43,48.8,1.27,3.1,False
클라우드 SaaS,S,조정기,70.1,2.25,0.8,4,CRM,대장주,206.09,6.61,26.44,68.9,1.07,7.8,False
클라우드 SaaS,S,조정기,70.1,2.25,0.8,4,MSFT,대장주,484.31,-1.65,24.07,65.9,0.6,6.7,False
클라우드 SaaS,S,조정기,70.1,2.25,0.8,4,SNOW,후발주,325.01,-2.18,21.36,69.6,0.65,4.8,False
방위산업,B,조정기,64.1,-2.17,0.68,3,RTX,대장주,220.35,-0.75,13.45,62.2,0.87,5.9,False
방위산업,B,조정기,64.1,-2.17,0.68,3,GD,후발주,392.34,-0.47,5.87,63.4,0.6,3.9,False
방위산업,B,조정기,64.1,-2.17,0.68,3,LMT,대장주,589.15,-2.9,14.54,55.7,0.75,3.7,False
원자력 에너지,C,소멸,78.2,-0.67,0.83,1,UEC,후발주,11.63,2.38,19.53,79.4,0.79,6.0,False
원자력 에너지,C,소멸,78.2,-0.67,0.83,1,CEG,대장주,274.17,-1.47,-0.11,58.1,0.89,4.0,False
원자력 에너지,C,소멸,78.2,-0.67,0.83,1,VST,대장주,142.7,-2.71,-14.42,43.1,0.77,3.3,False
사이버보안,A,태동기,61.4,-5.53,1.2,4,CRWD,대장주,201.63,-9.09,7.01,60.4,0.98,3.2,False
사이버보안,A,태동기,61.4,-5.53,1.2,4,PANW,대장주,359.76,-7.04,7.3,63.9,0.85,3.2,False
사이버보안,A,태동기,61.4,-5.53,1.2,4,FTNT,후발주,152.85,-4.97,-1.42,48.7,0.7,3.1,False
바이오헬스케어,A,과열기,78.2,6.37,1.04,5,MRNA,후발주,174.38,173.88,200.29,93.9,2.86,8.1,False
바이오헬스케어,A,과열기,78.2,6.37,1.04,5,REGN,대장주,840.84,5.49,24.4,92.2,0.79,7.8,False
바이오헬스케어,A,과열기,78.2,6.37,1.04,5,LLY,대장주,1280.34,5.07,10.25,69.3,0.89,7.6,False
로봇 자동화,A,조정기,67.4,-3.59,1.46,4,ISRG,대장주,397.72,-0.88,16.74,76.7,0.7,6.6,False
로봇 자동화,A,조정기,67.4,-3.59,1.46,4,TER,대장주,379.65,-5.73,2.76,53.2,0.76,3.8,False
에너지 원유,B,조정기,71.8,4.18,0.86,2,CVX,대장주,205.76,4.66,6.62,66.9,0.95,7.6,False
에너지 원유,B,조정기,71.8,4.18,0.86,2,XOM,대장주,164.77,3.81,7.37,66.3,0.93,7.5,False
에너지 원유,B,조정기,71.8,4.18,0.86,2,SLB,후발주,53.55,1.79,12.33,67.1,0.65,6.4,False
금융,B,태동기,56.9,-0.76,1.05,2,JPM,대장주,357.26,-2.17,2.6,59.8,0.82,4.0,False
금융,B,태동기,56.9,-0.76,1.05,2,GS,대장주,1021.65,-1.5,-6.97,48.9,0.93,3.4,False
금융,B,태동기,56.9,-0.76,1.05,2,BAC,후발주,63.17,-2.53,2.52,60.7,0.92,3.3,False
금 귀금속,B,조정기,77.1,7.0,1.19,4,NEM,대장주,125.08,6.14,30.63,79.6,0.96,7.7,False
금 귀금속,B,조정기,77.1,7.0,1.19,4,GOLD,대장주,45.53,1.9,13.23,60.5,1.14,7.5,False
금 귀금속,B,조정기,77.1,7.0,1.19,4,AG,후발주,20.85,8.91,20.55,75.6,0.9,7.0,False
